,Tweet content,date,symbol,increase
0,"Credit Suisse has a list of 11 contrarian picks https://t.co/GRTX2zO4sm $AGIO $ADSK $BOX $CATCredit Suisse has a list of 11 contrarian picks $AGIO $ADSK $BOX $CAT $DNKN $K $MTW $NSM $PDCO $SYY $X https://t.co/bFwc6pxmHeCredit Suisse $CS has a list of 11 contrarian picks $AGIO $ADSK $BOX $CAT $DNKN $K $MTW $NSM $PDCO $SYY $X https://t.co/t6fyWTP4zsCredit Suisse has a list of 11 contrarian picks https://t.co/xQdCrwcpU2 $AGIO $ADSK $BOX $CATCredit Suisse has a list of 11 contrarian picks https://t.co/ttI6Y4bzMx $AGIO $ADSK $BOX $CATNew trend started on $ADSK when price was 57.53 https://t.co/yuBkmBnwuX #TradingSystem #Stock4-star analyst Steven Ashley from Robert W. Baird maintained a BUY on $ADSK.  https://t.co/248euas34n #NASDAQ #stocks #ADSK$ADSK:

Analysts Chime In On Autodesk, Inc. (NASDAQ:ADSK)’s:

https://t.co/2LpopR9N4V$ADSK: Analyst action by Baird on Autodesk: https://t.co/I7mTl3goaS https://t.co/eNYDkT19IlVanguard Group Inc. Boosts Position in Autodesk, Inc. $ADSK https://t.co/BbkhGhjgPBQuantitative Investment Management LLC Takes Position in Autodesk, Inc. $ADSK https://t.co/8EDqz5QwsTAdd Up The Pieces: $IVE Could Be Worth $98 $FLIR $ADSK $BXP #etfs https://t.co/ussA7DCM1EAdd Up The Pieces: $IVE Could Be Worth $98 $FLIR $ADSK $BXP #etfs: Looking at the underlying holdings of the E... https://t.co/pdiHbCOkwn$ADSK:

Shares Of Autodesk, Inc. (NASDAQ:ADSK) Rated As Outperform By …:

https://t.co/k2wgrCfozk$ADSK:

Analyst’s Report Recap: Autodesk, Inc. (NASDAQ:ADSK):

https://t.co/LOFpAwVkPuAutodesk's buy rating reiterated at Robert W. Baird. https://t.co/yIMYOFVkWi $ADSK #ADSKAutodesk Inc Reiterated Rating by Robert W. Baird (Ranked 17th) to Buy $ADSK #ADSK https://t.co/Cx8WnrSBPyAutodesk's buy rating reiterated at Robert W. Baird. https://t.co/Opy3NtsEQS $ADSK #ADSKAutodesk, Inc. $ADSK Stock Rating Reaffirmed by Credit Suisse https://t.co/atXfBYkLRUAnalysts Offer Insights on Technology Companies: Autodesk Inc (NASDAQ: ADSK) and Accenture Plc (NYSE: ACN) $ADSK https://t.co/LJ5hCKuvSMBetsy Rafael Sells 7,031 Shares of Autodesk, Inc. $ADSK Stock https://t.co/K4trDE3jSl$ADSK:

Autodesk Incorporated (NASDAQ:ADSK) Short Interest Decreased …:

https://t.co/UJHVZRE1fz",2016-03-28,ADSK,1
1,"Last but definitely not last, $ADSK setting up in a nice BULLISH FLAG pattern. Keep an eye on it https://t.co/WD4wnFJPFrOur Picks Are Seeing Incredible Gains! Get Exclusive Early Access To Our New Alerts: https://t.co/dWbN7JMySK $ADSK $SRCL $SBACThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sytfZ $ADSK $SRCL $SBAC$ADSK What Under Armour's New 3-D-Printed Shoe Reveals About The Future Of Footwear https://t.co/ZUTs8uUJGYRT @JKKapital: Credit Suisse - Contrarian Ideas

- We are more positive than the Street on the following: $ADSK $AGIO $BOX $CAT $DNKN $K $M…long $ADSK here..Over 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $ADSK $SRCL $SBAC$ADSK: Analyst action by Baird on Autodesk: https://t.co/I7mTl3goaS https://t.co/u7CtXiKJOEAutodesk, Inc. $ADSK Price Target Increased to $62.00 by Analysts at Robert W. Baird https://t.co/Ri98T2YjjwAutodesk, Inc. $ADSK Price Target Increased to $62.00 by Analysts at Robert W. Baird https://t.co/JVAvpqxxWdAutodesk’s $ADSK “Outperform” Rating Reiterated at Credit Suisse https://t.co/okRZKZHLj0Autodesk, Inc. $ADSK Price Target Increased to $62.00 by Analysts at Robert W. Baird https://t.co/1YntB1vdKYAutodesk’s $ADSK “Outperform” Rating Reiterated at Credit Suisse https://t.co/tsX6MGbuDZAutodesk $ADSK – Research Analysts’ Recent Ratings Updates https://t.co/D9ZJo0ni0s$ADSK:

15 Analysts Rate AUTODESK INC (NASDAQ:ADSK) an Average of …:

https://t.co/be7y3Ny68K$ADSK received a new alert. Find out why at https://t.co/nZwqRf3BRT #stocks #daytrading #trading #mkt  #NYSE #NASDAQ #markets 27Autodesk, Inc. $ADSK Director Sells $404,563.74 in Stock https://t.co/JxJkUhE0XiAutodesk, Inc. $ADSK Director Sells $404,563.74 in Stock https://t.co/U7fI4krwax$ADSK:

Autodesk, Inc. (NASDAQ:ADSK) Price Target Raised at Baird:

https://t.co/vd4hu93pDd",2016-03-29,ADSK,0
2,"Premium Alerts Ranked #1 For Gains 2834% Last Week At https://t.co/ewcYkLb72h .. $VRA $ADSK $FSYSRT @traderstewie: Last but definitely not last, $ADSK setting up in a nice BULLISH FLAG pattern. Keep an eye on it https://t.co/WD4wnFJPFrPopular: $MDVN, $VXX, $CMG, $PRGS, $UA, $MRTN, $ONCE, $SPKE, $RDUS, $STR, $AMNB, $ADSK, $EWW, $TRIP, $SSRI, $AMATAutodesk hasn’t had the best performance recently from an EPS perspective 😟 $ADSK https://t.co/JXioCLKsrk https://t.co/IvBJuUG9cC$ADSK: New Insider Transaction on ADSK by SVP, ISM: https://t.co/aIBih6T3uJ https://t.co/hainhIusSZCARL BASS Chief Executive Officer Sells $2,770,292 Worth of $ADSK Autodesk, Inc. - #Form4 #InsiderTrading - https://t.co/ilkPuidLwERT @ARKindu: Optomec, a private #3Dprinting company, has $ADSK and $GE as strategic investors. https://t.co/OrXJzXHBKf https://t.co/iWoG3Kb…Optomec, a private #3Dprinting company, has $ADSK and $GE as strategic investors. https://t.co/OrXJzXHBKf https://t.co/iWoG3Kb7cZ$ADSK 57.5 Calls BUYING Activity expiring on 15th Apr, Vol 462$ADSK:US 86,449 Shares in Autodesk, Inc. (ADSK) Acquired by Cowen Group Inc. #AUTODESK INC  https://t.co/3btBoMnrhx #NASDAQ$ADSK:US 86,449 Shares in Autodesk, Inc. (ADSK) Acquired by Cowen Group Inc. #AUTODESK INC  https://t.co/8qKSLprar7 #SP500$ADSK nice breakout room to go to $62 https://t.co/S3LOwzi6M2$ADSK: Analyst action by Baird on Autodesk: https://t.co/I7mTl3goaS https://t.co/oO0IcGyNQeAutodesk, Inc. $ADSK Shares Sold by Thornburg Investment Management Inc. https://t.co/LYMtvsZG65Autodesk, Inc. $ADSK PT Raised to $62.00 https://t.co/Lz1IJAqAFPAutodesk, Inc. $ADSK PT Raised to $62.00 https://t.co/b43aiWjEglFineMark National Bank &amp; Trust Increases Stake in Autodesk, Inc. $ADSK https://t.co/mZLXG7gm6tPrincipal Financial Group Inc. Has $253,284,000 Stake in Autodesk, Inc. $ADSK https://t.co/HHb3enQt5sOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $ADSK $SRCL $SBACSell-signal detected for 8 stocks: $EW $BSX $MSFT $ZTS $A $ADSK $SLM $PDCORT @traderstewie: Last but definitely not last, $ADSK setting up in a nice BULLISH FLAG pattern. Keep an eye on it https://t.co/WD4wnFJPFrRT @traderstewie: Last but definitely not last, $ADSK setting up in a nice BULLISH FLAG pattern. Keep an eye on it https://t.co/WD4wnFJPFrRT @traderstewie: Last but definitely not last, $ADSK setting up in a nice BULLISH FLAG pattern. Keep an eye on it https://t.co/WD4wnFJPFrRT @traderstewie: Last but definitely not last, $ADSK setting up in a nice BULLISH FLAG pattern. Keep an eye on it https://t.co/WD4wnFJPFr",2016-03-30,ADSK,1
3,"$ADSK:US  Microsoft HoloLens shipping to developers with NASA and Autodesk as partners #AUTODESK INC  https://t.co/bEbWOtOUKY #NASDAQ$ADSK:US  Microsoft HoloLens shipping to developers with NASA and Autodesk as partners #AUTODESK INC  https://t.co/F1xVL26Tr4 #SP500$ADSK $EW $BXP:

20% of S&amp;P 500 Have Negative Guidance for Q1:

https://t.co/72BZpyxxz6Autodesk, Inc. $ADSK Stake Decreased by Brown Advisory Inc. https://t.co/cJGeriilnVYesterday We Made $94,000 In Just One Trade More Info Here https://t.co/ZMvOsK1CVa .. $ADSK $SRCL $SBAC$ADSK:US  Microsoft HoloLens shipping to developers with NASA and Autodesk as partners #AUTODESK INC  https://t.co/qcNHWCDoXk #NASDAQ$ADSK:US  Microsoft HoloLens shipping to developers with NASA and Autodesk as partners #AUTODESK INC  https://t.co/l3Zx8HxUZh #SP500Three Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sgRRp $ADSK $SRCL $SBAC$ADSK:

New Analyst Ratings On Autodesk, Inc. (NASDAQ:ADSK):

https://t.co/h0h1ilo43xOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8QMnm $ADSK $SRCL $SBACAutodesk, Inc. $ADSK Price Target Raised to $62.00 https://t.co/uDvXD87tJPGet your say in on $ADSK at SpeculatingStocks, the discovery engine. https://t.co/3t4D5Pcf6g #stocks@WestEgg_Capital That $ADSK tend to move with the S&amp;P? Reminds me of $SPY a bit.@WestEgg_Capital $ADSK chart https://t.co/FYmxnWSk8m Scaled out on H1@WestEgg_Capital $ADSK chart https://t.co/c5RaUpMoeB Some symmetry &amp; contraction in there. Big picture sets stage for little pictureThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sytfZ $ADSK $SRCL $SBACOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $ADSK $SRCL $SBAC",2016-03-31,ADSK,0
4,"Nasdaq100 #Stocks Performance $VRTX $TSLA $ALXN $ISRG $CHTR $SYMC $AAPL $CERN $ADSK $ILMN $AMGN $INCY $INTU more@ https://t.co/YdSIjFJqHfComerica Bank Decreases Position in Autodesk, Inc. $ADSK https://t.co/oTE3ijERw4Comerica Bank Decreases Position in Autodesk, Inc. $ADSK https://t.co/kz3I7p1tlySwing Trading Watch-List: $TXMD $BEAV $ADSK $ALKS $AER | SharePlanner https://t.co/w7KW8kjjQuS&amp;P500 #Stocks Trend $EW $ALXN $ABBV $ISRG $BSX $PFE $MDT $ADSK $VAR $AAPL $CCE $BDX $TMO $TWX $BCR $CAH $HCN  @ https://t.co/RPeaHBHYi0Nasdaq100 #Stocks Trend $TSLA $ALXN $ISRG $CHTR $ADSK $AAPL $BMRN $ILMN $AMGN $CELG $GILD $LBTYA $INTU $CTXS  @ https://t.co/YdSIjFJqHfNasdaq100 #Stocks Performance $VRTX $TSLA $ALXN $ISRG $CHTR $ADSK $AAPL $BMRN $SYMC $CERN $INCY $REGN $ILMN more@ https://t.co/YdSIjFJqHfThere's a lot of innovation going on at @mozilla for web gaming $ADBE, $ADSK, $GOOG, $KING,… https://t.co/oC1aYAofr6 https://t.co/PKSsRTwiwfThere's a lot of innovation going on at @mozilla for web gaming $ADBE, $ADSK, $GOOG, $KING,… https://t.co/RXqdwQ0kTf https://t.co/bKz0NYqUknMid Day Sector Look: $WN $CNX $RRC $COG $AAPL $CCE VRTX $ABBV $RTN $RCL $GPS $YHOO $CERN $ADSK $CMG https://t.co/PSyQLmUxuK$ADSK:

Autodesk, Inc. (NASDAQ:ADSK) topped earnings-per-share …:

https://t.co/41khesPE7IKeeps climbing and trades well
$bax $m $adsk $vod $au $mon $so $spn $anac $pld https://t.co/Prpwr1F56kS&amp;P500 #Stocks Trend $EW $RRC $ABBV $PFE $ISRG $MDT $TMO $AAPL $BSX $CCE $ADSK $PKI $CAH $CELG $BDX $VAR $AMGN @ https://t.co/RPeaHBHYi0Nasdaq100 #Stocks Trend $TSLA $BMRN $ISRG $AAPL $ADSK $CELG $AMGN $ILMN $GILD $INTU $LBTYA $CTXS $LMCA $YHOO  @ https://t.co/YdSIjFJqHfNasdaq100 #Stocks Performance $VRTX $TSLA $ALXN $BMRN $ISRG $MYL $AAPL $ADSK $SYMC $CHTR $CELG $CERN $AMGN  more@ https://t.co/YdSIjFJqHfGulf International Bank UK Ltd Has $4,110,000 Position in Autodesk, Inc. $ADSK https://t.co/JN4nGb0ej9$ADSK flagging here on 15 min chartsEdge Asset Management Inc. Lowers Position in Autodesk, Inc. $ADSK https://t.co/qPv6NGQKyFAutodesk, Inc. $ADSK SVP Steven M. Blum Sells 8,402 Shares of Stock https://t.co/O9S8aJ2UyTViral Video on the Biggest Bubble in the entire U.S. Economy! https://t.co/CY8xcPtqvO
$APA $AIV $AAPL $AMAT $ADM $AIZ $T $ADSK $ADP $AN $AZO",2016-04-04,ADSK,0
5,"RT @SkyCar_Jack: ShoutOut to the great #NorCal #Tech Cos: $AAPL $XLNX $ADSK $LMT $NTAP $STX $RMBS $THOR $SY $TWTR #UBER $ADBE $TIVO $GPS $E…RT @SkyCar_Jack: ShoutOut to the great #NorCal #Tech Cos: $AAPL $XLNX $ADSK $LMT $NTAP $STX $RMBS $THOR $SY $TWTR #UBER $ADBE $TIVO $GPS $E…RT @SkyCar_Jack: ShoutOut to the great #NorCal #Tech Cos: $AAPL $XLNX $ADSK $LMT $NTAP $STX $RMBS $THOR $SY $TWTR #UBER $ADBE $TIVO $GPS $E…$ADSK Simulation Software: A Price and Performance for Everyone https://t.co/ZUTs8uUJGY$ADSK Designing an Atmospheric Water Generation System https://t.co/ZUTs8uUJGYCARL BASS Chief Executive Officer Sells $874,301 Worth of $ADSK Autodesk, Inc. - #Form4 #InsiderTrading - https://t.co/dP7ybxGwAL$ADSK:

New Insider Transaction on ADSK by Chief Executive Officer:

https://t.co/Sa6dClWV2k https://t.co/AMzM5IEDpIShoutOut to the great #NorCal #Tech Cos: $AAPL $XLNX $ADSK $LMT $NTAP $STX $RMBS $THOR $SY $TWTR #UBER $ADBE $TIVO $GPS $EA $NFLX $CSCO $DNA$ADSK:

Autodesk, Inc. (NASDAQ:ADSK) Receives Average Rating of “Hold …:

https://t.co/46VwgX80KMAutodesk, Inc. $ADSK Receives Average Rating of “Hold” from Brokerages https://t.co/RWoEwjZ58g$ADSK Long Setup https://t.co/S6NO2Spfk6Autodesk, Inc. $ADSK Shares Sold by Burney Co. https://t.co/zWmsbJaT9bAutodesk, Inc. $ADSK Shares Sold by Burney Co. https://t.co/yVOdokBaKmRT @SharePlanner: Swing Trading Watch-List: $TXMD $BEAV $ADSK $ALKS $AER | SharePlanner https://t.co/w7KW8kjjQu$ADSK:

Upgrades And Downgrades For Autodesk, Inc. (NASDAQ:ADSK):

https://t.co/UNYvWRoLj2Paul D. Underwood Sells 2,405 Shares of Autodesk, Inc. $ADSK Stock https://t.co/ttiaL2xjODSteven M. Blum Sells 8,402 Shares of Autodesk, Inc. $ADSK Stock https://t.co/JZJlvRpTmGBaker Chad R Buys Shares of 36,000 Autodesk, Inc. $ADSK https://t.co/aahy7el7R1Baker Chad R Buys Shares of 36,000 Autodesk, Inc. $ADSK https://t.co/q3Sh2cUH1ZCYDY running, FLKS is just starting: https://t.co/lwSyWTxOEB $ADPT $ADRA $ADRD $ADRE $ADRO $ADS $ADSK $ADT$ADSK:

How Analysts Feel About Autodesk, Inc. (NASDAQ:ADSK)?:

https://t.co/eMJRgG8wJvRT @SharePlanner: Swing Trading Watch-List: $TXMD $BEAV $ADSK $ALKS $AER | SharePlanner https://t.co/w7KW8kjjQu",2016-04-05,ADSK,1
6,"180 Bullish https://t.co/j5Ufe4aNwK $VIG $GPT $TSS $ERF $OMC $LBTYA $ADSK $KO $KHCWorst #sentiment for #SP1500 #stocks at market close: $STT $ADSK $DFS $BSX $LEN (2016/04/06) #stocktrading #predictiveanalytics #bigdataWorst sentiment for SP1500 stocks at market close: $STT $ADSK $DFS $BSX $LEN (2016/04/06) #sentiment #stock #alexandriaAutodesk, Inc. $ADSK Downgraded by Zacks Investment Research https://t.co/piLoO5SR3GAutodesk, Inc. $ADSK Downgraded by Zacks Investment Research https://t.co/GOyG8PtGAVAutodesk downgraded by Zacks Investment Research to sell. https://t.co/7AFyV5oLOi $ADSK #ADSKAutodesk downgraded by Zacks Investment Research to sell. https://t.co/0AK9EnlpM0 $ADSK #ADSKWorst #sentiment for #SP1500 #stocks at midday: $STT $ADSK $DFS $LEN $BSX (2016/04/06) #stocktrading #predictiveanalytics #bigdataWorst sentiment for SP1500 stocks at midday: $STT $ADSK $DFS $LEN $BSX (2016/04/06) #sentiment #stock #alexandriaWorst #sentiment for #SP1500 #stocks at market open: $STT $ADSK $DFS $LEN $BSX (2016/04/06) #stocktrading #predictiveanalytics #bigdataWorst sentiment for SP1500 stocks at market open: $STT $ADSK $DFS $LEN $BSX (2016/04/06) #sentiment #stock #alexandriaAutodesk, Inc. $ADSK VP Sells $139,369.75 in Stock https://t.co/rt0SsdssJv$ADSK:

581 Shares of Autodesk, Inc. (ADSK) Stock are sold by Paul D …:

https://t.co/MEJor1xSwLInsider Selling: Autodesk, Inc. $ADSK CEO Sells 15,000 Shares of Stock https://t.co/vRGPQi9NzK$ADSK:

15000 Shares of Stock are sold by Insider Selling: Autodesk, Inc …:

https://t.co/83Y1YIYkC4Insider Selling: Autodesk, Inc. $ADSK CEO Sells 15,000 Shares of Stock https://t.co/54pvZTPQP9$ADSK:

Insider Selling: Autodesk, Inc. (ADSK) CEO Sells 15000 Shares of …:

https://t.co/xWZEw0iTtG$ADSK - Insider Selling: Autodesk, Inc. #ADSK CEO Sells 15,000 Shares of Stock https://t.co/g4ZNcJlIwH",2016-04-06,ADSK,0
7,"$ADSK:

Autodesk, Inc. (NASDAQ:ADSK) Stock Rating in Focus:

https://t.co/jf7aWZtFgN$ADSK:

New SEC Filing for ADSK: Form 8-K (No. 0000769397-16-000069):

https://t.co/dGIvVtrDhl https://t.co/9CehdMWGMwWorst #sentiment for #SP1500 #stocks at market close: $ADSK $GILD $BSX $STT $MA (2016/04/07) #stocktrading #predictiveanalytics #bigdataWorst sentiment for SP1500 stocks at market close: $ADSK $GILD $BSX $STT $MA (2016/04/07) #sentiment #stock #alexandriaWorst #sentiment for #SP1500 #stocks at midday: $ADSK $GILD $BSX $STT $MA (2016/04/07) #stocktrading #predictiveanalytics #bigdataWorst sentiment for SP1500 stocks at midday: $ADSK $GILD $BSX $STT $MA (2016/04/07) #sentiment #stock #alexandria$ADSK:

Valuation Of Autodesk, Inc. (NASDAQ:ADSK):

https://t.co/q5VheOCt4E$ADSK board of directors is being investigated. https://t.co/Y0uXmL75wMRT @ChinaInvest: RT SeekingAlpha: Signs Of A New 3-D Printing Boom https://t.co/oGLMC2wOTu $DDD $GE $HPQ $SSYS $VJET $XONE $ADSKRT SeekingAlpha: Signs Of A New 3-D Printing Boom https://t.co/oGLMC2wOTu $DDD $GE $HPQ $SSYS $VJET $XONE $ADSKSigns Of A New 3-D Printing Boom https://t.co/AKaIR3zGCr $DDD $GE $HPQ $SSYS $VJET $XONE $ADSKWorst #sentiment for #SP1500 #stocks at market open: $ADSK $GILD $BSX $STT $MA (2016/04/07) #stocktrading #predictiveanalytics #bigdataWorst sentiment for SP1500 stocks at market open: $ADSK $GILD $BSX $STT $MA (2016/04/07) #sentiment #stock #alexandriaPaul D. Underwood Sells 581 Shares of Autodesk, Inc. $ADSK Stock https://t.co/nPcBbmjLC6Autodesk, Inc. $ADSK Downgraded to Sell at Zacks Investment Research https://t.co/obOdiJlkv5Autodesk, Inc. $ADSK Downgraded to Sell at Zacks Investment Research https://t.co/xJNV6YNNFR$ADSK:

Key Stocks of the Day: Autodesk, Inc. (NASDAQ:ADSK):

https://t.co/m865074upB",2016-04-07,ADSK,1
8,"Ranks #1 with over 80% in alert gains today. Click here https://t.co/ewcYkLb72h .. $VRA $ADSK $FSYS#Technical #scans $ADSK $BLUE $CHKP $DVN $FAZ $VRX $UVXY https://t.co/T8mDEf4Ilf #charts #patterns #doji #pullbacks #20dma #50dma #trading$ADSK:

Autodesk, Inc. (ADSK) Shares Bought by Cibc World Markets Corp:

https://t.co/4cIvFFhaRE",2016-04-11,ADSK,0
9,"CCI Below -100 https://t.co/EnKdlRh9v6 $UHAL $ADS $ATNI $NICE $SSNC $ADSK $AGR $AZPN $JRVR $BKFS $BAH $CSCO $BKPC $PEGA $TEAM $HACK $TRNO$ADSK:

Autodesk, Inc. (NASDAQ:ADSK) Check on Analyst Ratings:

https://t.co/n03zP3kexyAutodesk hits a 1 week low https://t.co/LTZKq8HYZY $ADSK #Autodesk https://t.co/Pg1HhNbyraAutodesk hits a 1 week low https://t.co/7essBdhlAJ $ADSK #Autodesk https://t.co/da0cTU2kXuTuesday Sector Laggards: Technology &amp; Communications, Consumer Products $JNPR $ADSK $XLK $HAR $MJN #stocks https://t.co/qK9VEfDI0X#Technical #scans $ADSK $BLUE $CHKP $DVN $FAZ $VRX $UVXY https://t.co/T8mDEf4Ilf #charts #patterns #doji #pullbacks #20dma #50dma #trading",2016-04-12,ADSK,1
