,Tweet content,date,symbol,increase
0,"$AKAM: Analyst action by Stifel Nicolaus on Akamai Technologies: https://t.co/5NG7SKPkO8 https://t.co/KyBYEV1qShRT @paulwoll: $ASHR Chinese plays may get interesting long soon.   $AKAM $BIDU possible nice setups.Akamai Technologies, Inc. $AKAM Stake Cut by Winton Capital Group Ltd https://t.co/aRrtwqkBSbVetr users have upgraded Akamai Technologies, Inc. to a HOLD Rating (3 stars), giving $AKAM a target price of $53.35 https://t.co/3MLICUx366Weekly Research Analysts’ Ratings Changes for Akamai Technologies $AKAM https://t.co/pcCFeKARQL$AKAM:US Akamai Technologies, Inc. (AKAM) Stock Rating Upgraded by Vetr Inc. #AKAMAI TECHNOLOGIES INC  https://t.co/7EFPX2CAJv #NASDAQ$AKAM:US Akamai Technologies, Inc. (AKAM) Stock Rating Upgraded by Vetr Inc. #AKAMAI TECHNOLOGIES INC  https://t.co/1cLH0wn73n #SP500Stock Market Chart Technical Analysis Video
  https://t.co/wf3ENyB7To
  $AAPL $AA $ALK $AMBA $AAL $AKAMAzimuth Capital Management LLC Has $1,838,000 Stake in Akamai Technologies, Inc. $AKAM https://t.co/YDPgniIM0VAkamai Technologies, Inc. $AKAM Downgraded by Vetr Inc. https://t.co/U7U3J8JThmAkamai Technologies, Inc. $AKAM Coverage Initiated at RBC Capital https://t.co/wRWHlNYct3Stifel Nicolaus Initiates Coverage on Akamai Technologies, Inc. $AKAM https://t.co/XkDtxpbu3vFOURPOINTS Investment Managers S.A.S. Maintains Stake in Akamai Technologies, Inc. $AKAM https://t.co/OqFP60LoTDFOURPOINTS Investment Managers S.A.S. Maintains Stake in Akamai Technologies, Inc. $AKAM https://t.co/2PDDXAe4ea$AKAM received a new alert. Find out why at https://t.co/nZwqReM0tj #stocks #daytrading #trading #mkt  #NYSE #NASDAQ #markets 77Akamai Technologies, Inc. $AKAM Stock Rating Upgraded by Vetr Inc. https://t.co/V2k0xOg67hAkamai Technologies upgraded by Vetr Inc. to hold. $53.35 PT. https://t.co/7p8vtvm1JV $AKAM #AKAMConnor Bruggeman SchoolTrader made $300,000 in 1 yr while in high school https://t.co/Zemtk5KBsT $GRUB $KNDI $AKAM $EW $BIB $FDX$AKAM received a new alert. Find out why at https://t.co/nZwqReM0tj #stocks #daytrading #trading #mkt  #NYSE #NASDAQ #markets 53Akamai Technologies upgraded by Vetr Inc. to hold. $53.35 PT. https://t.co/Y8Fgku1XW5 $AKAM #AKAMConnor Bruggeman SchoolTrader made $300,000 in 1 yr while in high school https://t.co/DgrNThhkJM $GRUB $KNDI $AKAM $EW $BIB $FDXConnor Bruggeman SchoolTrader made $300,000 in 1 yr while in high school https://t.co/KkksP3bdM5 $GRUB $KNDI $AKAM $EW $BIB $FDXExplore #fundamental numbers and pros and cons for $AKAM https://t.co/9sp35s2LXS$AKAM: Analyst action by Stifel Nicolaus on Akamai Technologies: https://t.co/5NG7SKPkO8 https://t.co/uFZ9z38UdQ",2016-03-28,AKAM,1
1,"$AKAM:US The NBN is already out of date, but it's not too late to change course #AKAMAI TECHNOLOGIES INC  https://t.co/MGq9XwfPQS #NASDAQOur Picks Are Seeing Incredible Gains! Get Exclusive Early Access To Our New Alerts: https://t.co/dWbN7JMySK $GRMN $NUAN $AKAMThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sytfZ $GRMN $NUAN $AKAMComerica Bank Purchases 10,977 Shares of Akamai Technologies, Inc. $AKAM https://t.co/U0WAsVElyNComerica Bank Purchases 10,977 Shares of Akamai Technologies, Inc. $AKAM https://t.co/IWi07rLSwwNew trend started on $AKAM when price was 55.24 https://t.co/0FfMwk1IIX #TradingSystem #Stock$AKAM:

Average Rating Watch Akamai Technologies, Inc. (NASDAQ:AKAM):

https://t.co/p4eQ8EdmMTOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $GRMN $NUAN $AKAM$AKAM:US The NBN is already out of date, but it's not too late to change course #AKAMAI TECHNOLOGIES INC  https://t.co/GY6jXJVLH7 #NASDAQSawtooth Asset Management Inc. Increases Position in Akamai Technologies, Inc. $AKAM https://t.co/doukTHnz2sAkamai Technologies, Inc. $AKAM Stake Increased by Howland Capital Management LLC https://t.co/erEAHoeEAOAkamai Technologies, Inc. $AKAM Stake Increased by Howland Capital Management LLC https://t.co/IRX917VdG9Akamai Technologies, Inc. $AKAM Receives $65.52 Average Price Target from Analysts https://t.co/nbYDPPn2HPAkamai Technologies, Inc. $AKAM Receives $65.52 Average Price Target from Analysts https://t.co/1XeONxY6Le$AKAM:

Akamai Technologies, Inc. (NASDAQ:AKAM) Receives $65.52 …:

https://t.co/zz4LT9sKQ0Vetr Inc. Lowers Akamai Technologies, Inc. $AKAM to Strong Sell https://t.co/h60875j6fI",2016-03-29,AKAM,0
2,"Elder Red https://t.co/skyTOBkL6s $ABX $OPK $XBI $NRG $LABU $PYPL $JNPR $CELG $EOG $ADM $PBF $EXEL $WNR $LYV $CMRX $AKAM $OCN$AKAM:US Akamai will move all local workers into one office in Kendall Square #AKAMAI TECHNOLOGIES INC  https://t.co/PoPJOjLISZ #NASDAQ{NEW POST} 3/30/16 MARKET ANALYSIS: $AAPL $AA $AKAM $AMBA $AMGN $ABBV - CLICK THE LINK &gt; https://t.co/LiijRA7xw3 https://t.co/qufq6hAYyBVetr users have downgraded Akamai Technologie... to a SELL Rating (2.5 stars), giving $AKAM a target price of $53.35 https://t.co/3MLICUx366$AKAM:US Akamai will move all local workers into one office in Kendall Square #AKAMAI TECHNOLOGIES INC  https://t.co/iO6gWSAtRC #SP500$AKAM: Analyst action by RBC Capital on Akamai Technologies: https://t.co/5e2PthByBu https://t.co/RqPEOfq2rF$ACAD $AKAM $RKUS $WDC $XTNT $LULU https://t.co/aYspqqot9V$ACAD $AKAM $RKUS $WDC $XTNT $LULU https://t.co/z3h83dppmYToday's winning alerts, once again, posted in chat @NYSElydone @DayTradeWarrior $ACAD $AkAM $RKUS $WDC $XTNT $LULU https://t.co/jNE2V3d9BhAkamai Technologies, Inc. $AKAM Shares Sold by Pinnacle Associates Ltd. https://t.co/AyibVGxrCYRT @BosBizJournal: .@Akamai, Cambridge’s ‘hometown hero,' staying in Kendall Square https://t.co/vwx3Izn0Mg $AKAM.@Akamai, Cambridge’s ‘hometown hero,' staying in Kendall Square https://t.co/vwx3Izn0Mg $AKAMAkamai Technologies, Inc. $AKAM Stock Rating Upgraded by Vetr Inc. https://t.co/SP8hMRLA2NAkamai Technologies, Inc. $AKAM Stock Rating Upgraded by Vetr Inc. https://t.co/44usCYQmjvAkamai Technologies, Inc. $AKAM Receives New Coverage from Analysts at RBC Capital https://t.co/2nV6boHqMBAkamai Technologies, Inc. $AKAM Receives New Coverage from Analysts at Stifel Nicolaus https://t.co/ka7xNx7Qpc$AKAM: Analyst action by Stifel Nicolaus on Akamai Technologies: https://t.co/5NG7SKPkO8 https://t.co/xwb5cCgBEOOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $GRMN $NUAN $AKAM",2016-03-30,AKAM,1
3,"Top watch for the multi week run up $AKAM https://t.co/djfa4WQQGB$AKAM -super tight dont think its ready yet but worth keeping an eye on could snap hard one way or another https://t.co/wIgLx0jKDZIchimoku Green https://t.co/BrmcCy9sdj  $EWT $CVS $CAG $RIO $BTG $SABR $LLTC $AKAM $EWC $MSI $ANF $APH $GLNG $FNSR $PVH $ELLI $EATConnor Bruggeman SchoolTrader made $300,000 in 1 yr while in high school https://t.co/DgrNThhkJM $GRUB $KNDI $AKAM $EW $BIB $FDX$AKAM:

New SEC Filing for AKAM: Form DEF 14A (No. 0001193125-16-525774):

https://t.co/9XueFNcltr https://t.co/6qBDVWvZZh$AKAM - Proxy Statement (definitive) (def 14a) https://t.co/Q940jlcwzk$AKAM:

Akamai Technologies, Inc. (NASDAQ:AKAM) P/E Ratio At 31.26:

https://t.co/tHNsEonCGV$AKAM hodYesterday We Made $94,000 In Just One Trade More Info Here https://t.co/ZMvOsK1CVa .. $GRMN $NUAN $AKAMGet your say in on $AKAM at SpeculatingStocks, the discovery engine. https://t.co/gsdjZ4wm8C #stocksRT @Trading_Analyst: {NEW POST} 3/30/16 MARKET ANALYSIS: $AAPL $AA $AKAM $AMBA $AMGN $ABBV - CLICK THE LINK &gt; https://t.co/LiijRA7xw3 https…Bp Plc Has $2,789,000 Position in Akamai Technologies, Inc. $AKAM https://t.co/ktyFjaNMahThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sgRRp $GRMN $NUAN $AKAMOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8QMnm $GRMN $NUAN $AKAM$AKAM:

Blue Harbour Group Lp Decreased Stake in Akamai Technologies …:

https://t.co/zycScO6EY5Premium Alerts Ranked #1 For Gains 2834% Last Week At https://t.co/ewcYkLb72h .. $AKAM $GCBC $PSCFRT @scalpthatstock: Stock Market Chart Technical Analysis Video March 30 
  https://t.co/SQxaH9XIM1
  $AA $AAPL $AMBA $AKAM $AMGN $ABBVRT @SwingWarrior: Today's winning alerts, once again, posted in chat @NYSElydone @DayTradeWarrior $ACAD $AkAM $RKUS $WDC $XTNT $LULU https:…Stock Market Chart Technical Analysis Video March 30 
  https://t.co/SQxaH9XIM1
  $AA $AAPL $AMBA $AKAM $AMGN $ABBVThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sytfZ $GRMN $NUAN $AKAMOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $GRMN $NUAN $AKAM",2016-03-31,AKAM,0
4,"Elder Green https://t.co/SBSGNFOvb9 $GRPN $SWN $YHOO $SYMC $AVP $DDD $CFG $AZN $SGYP $LYG $MBLY $CTLT $RLYP $RPM $IDRA $EAT $AKAM $ASMLMELANIE HARATUNIAN EVP and General Counsel Sells $569,503 Worth of $AKAM Akamai Technologies, Inc. - #Form4 ... - https://t.co/5qN0noF7YA$AKAM - Statement of Changes in Beneficial Ownership (4) https://t.co/M1DCPKWe7X$AKAM Akamai to Hold First Quarter 2016 Investor Conference Call on Tuesday, April 26th at 4:30 PM ET https://t.co/mYJwWJGD5w$AKAM Could be getting ready to break out finally.TW 21.03
BUY $OMC $FAST $URBN $DRI $WYNN $APD $CPB $CI $EMC $GWW $HRL $HUM $KIM $AIV $HIG $WU $PWR $NLSN $DO $PM $PCLN $AKAM $LVLT $MNK$AKAM Akamai To Hold First Quarter 2016 Investor Conference Call On Tuesday, April 26th At 4:30 PM ET
From our Stock News Alerts App$AKAM - Akamai To Hold First Quarter 2016 Investor Conference Call On Tuesday, April 26th At 4:30 PM ET https://t.co/mZhKFR5LZQ#Akamai Technologies : To Hold First Quarter 2016 Investor Conference Call On ... https://t.co/uPULVIflv4 $AKAMViral Video on the Biggest Bubble in the entire U.S. Economy! https://t.co/CY8xcPtqvO 
$AFL $AMG $A $GAS $APD $ARG $AKAM $AA $AGN $ALXN $ADS$JNPR $AKAM:

Updated Analysts Rating Report: Juniper Networks, Inc. (NYSE …:

https://t.co/zcvjHYyjYO",2016-04-04,AKAM,0
5,"RT @WallStJesus: $AKAM EARNINGS 4/26:

 2165 4/29 $53.5 PUTS 90% ASK https://t.co/mf31gBNIOB$AKAM EARNINGS 4/26:

 2165 4/29 $53.5 PUTS 90% ASK https://t.co/mf31gBNIOBRT @WallStJesus: ☇TODAY'S TOP BETS:
$XLV $QQQ $RIG $KO $AKAM $FB $HCA $BIDU https://t.co/S19TP3PlUI https://t.co/aNdTJNE7we@tangentstyle @DumbLuckCapital @Wolfmetric @HFMWeek ah, missed that. Maybe $SWKS $JD $RHT $NVDA $XLNX $AKAMRT @WallStJesus: ☇TODAY'S TOP BETS:
$XLV $QQQ $RIG $KO $AKAM $FB $HCA $BIDU https://t.co/S19TP3PlUI https://t.co/aNdTJNE7weRT @WallStJesus: ☇TODAY'S TOP BETS:
$XLV $QQQ $RIG $KO $AKAM $FB $HCA $BIDU https://t.co/S19TP3PlUI https://t.co/aNdTJNE7weRT @WallStJesus: ☇TODAY'S TOP BETS:
$XLV $QQQ $RIG $KO $AKAM $FB $HCA $BIDU https://t.co/S19TP3PlUI https://t.co/aNdTJNE7we☇TODAY'S TOP BETS:
$XLV $QQQ $RIG $KO $AKAM $FB $HCA $BIDU https://t.co/S19TP3PlUI https://t.co/aNdTJNE7we$AKAM Akamai Technologies by Vladimir Zernov https://t.co/KRWX7oviPY https://t.co/s4IwuRkoJ3Showing some positive momo she could break looose
$akam $rate $cmi $dps $zbh $cien $xray $ksu $ptla $rhi $swc https://t.co/n9SPHMEE06out $LNG -10% $AKAM +20%Vanguard Group Inc. Increases Stake in Akamai Technologies, Inc. $AKAM https://t.co/hArKUZhXIkVanguard Group Inc. Increases Stake in Akamai Technologies, Inc. $AKAM https://t.co/LxsA1BypRgVanguard Group Inc. Increases Stake in Akamai Technologies, Inc. $AKAM https://t.co/lcPSNHPyERAkamai Technologies, Inc. $AKAM  Shares Down 3.8%  Following Insider Selling https://t.co/pXY3qlkaHeAkamai Technologies, Inc. $AKAM  Shares Down 3.8%  Following Insider Selling https://t.co/GCoP6jI5leAkamai Technologies, Inc. $AKAM  Shares Down 3.8%  Following Insider Selling https://t.co/mvJY5OmQw8GSA Capital Partners LLP Has $1,820,000 Stake in Akamai Technologies, Inc. $AKAM https://t.co/2s8gN3x5QjWill $TWTR use a CDN like $AKAM for the Thursday night football games?  Should be good for $AKAM if so.Big $AKAM 53.5 APR 4.29 Put SweeperRT @iviewmarkets: $SPY Winners/Losers at the Open $AN $GILD $MCHP $BA $EBAY $RTN $CLX $JNJ $SPLS $AGN $DRI $ENDP $BXLT $CI $AKAM $ADM https…$SPY Winners/Losers at the Open $AN $GILD $MCHP $BA $EBAY $RTN $CLX $JNJ $SPLS $AGN $DRI $ENDP $BXLT $CI $AKAM $ADM https://t.co/EO8KuJgPbB$AKAM:US Akamai Technologies, Inc. (AKAM) EVP Sells $569,502.54 in Stock #AKAMAI TECHNOLOGIES INC  https://t.co/opyi4q3i59 #SP500If you wanted $AKAM not is your chance for a low risk entry. https://t.co/RsIeqPZztzAkamai Technologies, Inc. $AKAM EVP Melanie Haratunian Sells 10,419 Shares of Stock https://t.co/XUx1HqQpBiCYDY running, FLKS is just starting: https://t.co/lwSyWTxOEB $AJX $AKAM $AKAO $AKBA $AKER $AKG $AKO.A $AKO.B$AKAM:US Akamai Technologies, Inc. (AKAM) EVP Sells $569,502.54 in Stock #AKAMAI TECHNOLOGIES INC  https://t.co/q9TNWiQoM8 #SP500Akamai Technologies, Inc. $AKAM EVP Sells $569,502.54 in Stock https://t.co/lL6d0yB3RK$AKAM:

Analysts at Fbr Capital rated Akamai Technologies Inc (NASDAQ …:

https://t.co/bl2lk0yYm2",2016-04-05,AKAM,1
6,"Nasdaq100 #Stocks Performance $INCY $VRTX $BMRN $ILMN $ALXN $CELG $REGN $MYL $BIIB $AMGN $EBAY $TSLA $AKAM  more@ https://t.co/YdSIjFJqHf$AKAM:

Can Akamai Technologies, Inc. (NASDAQ:AKAM) Improve on the …:

https://t.co/CHXQb6blCPConnor Bruggeman SchoolTrader made $300,000 in 1 yr while in high school https://t.co/Zemtk5KBsT $GRUB $KNDI $AKAM $EW $BIB $FDXNasdaq100 #Stocks Performance $INCY $VRTX $BMRN $CELG $ILMN $REGN $BIIB $ALXN $MYL $EBAY $AMGN $TSLA $AKAM  more@ https://t.co/YdSIjG11yN$AKAM hodCall/Put Highest % volume changes:  Calls: $CLR, $INFY, $PACB, $AKAM, $MTW.  Puts: $TIF, $EXPE, $COF, $MNK, $COST.$AKAM - SELL Signal at 53.14 on Apr 05, 16 By https://t.co/6PpjiKmc9G Trading Robot #Stockstowatch #Stockmarket #trading #trade #investingRT MARC FABER: $TSLA stock with P/E 75.73, 5X OVER F/V PRICE. STRONG SELL Initiation #Quant $MSFT $AKAM $GOOG $AMZN $AAPL $NFLX $FB $QQQ10 users on Vetr are bullish on Akamai Technologies, Inc., indicating a HOLD Rating (3 stars) for $AKAM https://t.co/3MLICUx366Nasdaq100 #Stocks Performance $INCY $VRTX $CELG $ILMN $BMRN $ALXN $MYL $EBAY $BIIB $AMGN $AKAM $ISRG $TSLA  more@ https://t.co/YdSIjFJqHfMid Morning Sector Names Look: $BHI $HAL $NFX $HES $MRO $APA $RIG $STZ $AMP $CELG $VRTX $AGN $DHI $MCK $AKAM $CERN https://t.co/2I0iW5K2qU$AKAM $NOW:

Noteworthy Buzzers: Akamai Technologies, Inc. (NASDAQ:AKAM …:

https://t.co/gm2ZwdOBguOlympics and Election Should Smooth Akamai's $AKAM Results - Piper Jaffray https://t.co/0mYu7LXCgx$AKAM $MSI:

Review of Tech Stocks: Akamai Technologies, Inc. (NASDAQ:AKAM …:

https://t.co/wsU2QtNzHbMelanie Haratunian Sells 10,419 Shares of Akamai Technologies, Inc. $AKAM Stock https://t.co/xM4fVQ45RqAkamai Technologies upgraded by Vetr Inc. to hold. $53.35 PT. https://t.co/9RqK6GI0Fe $AKAM #AKAMAkamai Technologies upgraded by Vetr Inc. to hold. $53.35 PT. https://t.co/OefNLIzNwc $AKAM #AKAMAs the market continues its pullback, we are starting to see more stocks 5 EMA X Below 20 EMA. $XOM $AKAM $LVS $BAC https://t.co/oZfWpKVXh9$AKAM - SELL Signal at 53.14 on Apr 05, 16 By https://t.co/6PpjiKmc9G Trading Robot #Stockstowatch #Stockmarket #trading #trade #investingRT @WallStJesus: $AKAM EARNINGS 4/26:

 2165 4/29 $53.5 PUTS 90% ASK https://t.co/mf31gBNIOBRT @WallStJesus: $AKAM EARNINGS 4/26:

 2165 4/29 $53.5 PUTS 90% ASK https://t.co/mf31gBNIOB",2016-04-06,AKAM,0
7,"RT @Benzinga: 10 Most Volatile Post-Earnings Stocks In The Midst Of One Helluva Streak $KORS $PCLN $ISRG $UA $AKAM $FB $FFIV $SNDK https://…10 Most Volatile Post-Earnings Stocks In The Midst Of One Helluva Streak $KORS $PCLN $ISRG $UA $AKAM $FB $FFIV $SNDK https://t.co/cFblfAKuq9The 10 Most Volatile Post-Earnings Stocks In The Midst Of One Helluva Streak $AKAM $FB $FFIV $KORS https://t.co/3KcwOE8ANg via @BenzingaResearch Analysts’ Updated EPS Estimates for April, 7th $AKAM, B, MDLZ, MRWSY, VIP, VJET, VLEEY, VTAE, WBS, WFC https://t.co/N19jDmHSGYRT SeekingAlpha: Most Volatile S&amp;P 500 Stocks On Earnings https://t.co/EIgDW5ZHKH $NFLX $FSLR $AKAM $TRIP $KORS $PCLN $AMZN $ISRG $CMG $FB…Akamai Technologies's overweight rating reiterated at Piper Jaffray. $69.00 PT. https://t.co/hM6kl92Dfk $AKAM #AKAMAkamai Technologies's overweight rating reiterated at Piper Jaffray. $69.00 PT. https://t.co/rheaGflHrY $AKAM #AKAMPiper Jaffray Reiterates Overweight Rating for Akamai Technologies, Inc. $AKAM https://t.co/rQYqTfRf3Y$AKAM - Piper Jaffray Reiterates Overweight Rating for Akamai Technologies, Inc. #AKAM https://t.co/C6NalpNvj4Stifel Shrugs $AKAM Akamai Technologies  Stumble As Uncertainty Following $TWTR  Twitter NFL Deal - https://t.co/akGLbUV9tv$AKAM - SELL Signal at 53.14 on Apr 05, 16 By https://t.co/6PpjiK4AL6 Trading Robot #Stockstowatch #Stockmarket #trading #trade #investing$CIEN $AKAM:

Noteworthy Buzzers: Ciena Corporation (NYSE:CIEN) , Akamai …:

https://t.co/AZrG1xfM62Insider Selling: Akamai Technologies, Inc. $AKAM EVP Sells $569,502.54 in Stock https://t.co/OD0CUEDPjCAkamai Technologies, Inc. $AKAM Upgraded to Hold at Vetr Inc. https://t.co/MZnndnTNCb",2016-04-07,AKAM,0
8,"Stochastic Oversold https://t.co/4ZAfDtFCj1 $AGN $BEN $IVZ $PANW $PCAR $AKAM $HBAN $INTC $SYMC $RDN $IDTI $ISBC $ABC $TROW $NDAQ $SCHW $DHRQQQTradingTip’s Results: $AKAM opened SHORT on 4/08 at $53.80 and closed today's at $52.00 +3.35% https://t.co/tHKkaFQw5Q  $QQQ $DJIA $SPY$AKAM:US Maps that will change the way you see the world #AKAMAI TECHNOLOGIES INC  https://t.co/UZ1Th1ZQsj #NASDAQAkamai Technologies, Inc. $AKAM Raised to “Hold” at Vetr Inc. https://t.co/X3rdrXmTIT$AKAM short 52.08Akamai Technologies, Inc. $AKAM Stock Rating Reaffirmed by Piper Jaffray https://t.co/VLZTA4wP9cShort
$NXPI $AKAM $SCOR $CME $DEPO $CLVS $ABC $BBBY $GPS $LB $KORS $RL $UA $VFC $LYB $CAR $INSYQ1 2016 EPS Estimates for Akamai Technologies, Inc. $AKAM Raised by Analyst https://t.co/fLY6rvkkwRQ1 2016 EPS Estimates for Akamai Technologies, Inc. $AKAM Raised by Analyst https://t.co/nB0Z1ss39oQ1 2016 EPS Estimates for Akamai Technologies, Inc. $AKAM Raised by Analyst https://t.co/p80J9ZcbLm",2016-04-11,AKAM,0
9,"Large Put Buying https://t.co/XOvYAQjjxR … $WLL $TEX $WWE $SM $EOG $CNQ $AKAM $SLCA $SWN $GALE $BBDLarge Put Buying https://t.co/XOvYAQjjxR $WLL $TEX $WWE $SM $EOG $CNQ $AKAM $SLCA $SWN $GALE $BBDAkamaiTechnologies hits a 1 month low https://t.co/8ymnscjfhN $AKAM #AkamaiTechnologies https://t.co/pTwkyujPviAkamaiTechnologies hits a 1 month low https://t.co/KUQyiVJ4sK $AKAM #AkamaiTechnologies https://t.co/I9ttWgXCzLAggressively trading short expiration: $AKAM $CHK $CNQ $EOG $GLW $HTZ $MRO $RIG via https://t.co/dSv1sj4ujP https://t.co/I2v5nsPcFMNoteworthy Tuesday Option Activity: $AMZN  $AKAM  $WYNN #stockoptions https://t.co/naA8kLjj76Pie In The Sky? https://t.co/hqjFVneyPX $AAPL $ADBE $AKAM $AMZN $ATVI $CA $CHKP $CRM $CSCO $EMC $EQIX $FB $FFIV $GOOGL $HPE $HPQ $IBM#AlkamiTechnology Alkami partner Easy Solutions to offer fraud prevention solutions . Read more: https://t.co/zHhswDwcUW $AKAMAkamai: Will A Onetime Zombie Stock Rise Again? https://t.co/YFqDoBcCr8 $AKAM$CMG $AKAM:

Stocks on Watch: Chipotle Mexican Grill, Inc. (NYSE:CMG), Microsoft …:

https://t.co/ghIYZg9jXH12 users on Vetr are bullish on Akamai Technologies, Inc., indicating a STRONG BUY Rating (4.5 stars) for $AKAM https://t.co/3MLICUx366Google should buy Akamai $AKAM. Google's CDN needs work if it is serious about cloudRT SeekingAlpha: Akamai: Will A Onetime Zombie Stock Rise Again? https://t.co/jTNZAfXEGF $AKAMAkamai: Will A Onetime Zombie Stock Rise Again? https://t.co/NbToinlFwN $AKAMQ1 2016 EPS Estimates for Akamai Technologies, Inc. Boosted by Analyst $AKAM https://t.co/VAzUuGp7o0Research Analysts’ Upgrades for April, 12th $AKAM, BHP, ETE, GBNK, GLW, HES, HLX, IMSC, INO, IT https://t.co/6sS05adsBMRT @AccendoMarkets: Pie In The Sky? https://t.co/BOTmT7TZyj $AAPL $ADBE $AKAM $AMZN $ATVI $CA $CHKP $CRM $CSCO $EMC $EQIX $FB $FFIV $GOOGL…Pie In The Sky? https://t.co/BOTmT7TZyj $AAPL $ADBE $AKAM $AMZN $ATVI $CA $CHKP $CRM $CSCO $EMC $EQIX $FB $FFIV $GOOGL $HPE $HPQ $IBMRT @SAlphaETF: Pie In The Sky? https://t.co/mDDiLk2SVm $AAPL #APPLE $ADBE $AKAM $AMZN $ATVI $CA $CHKP $CRM $CSCO $EMC $EQIX $FB $FFIV $GOOG…RT SeekingAlpha: Pie In The Sky? https://t.co/4gsjNZAHO5 $AAPL #APPLE $ADBE $AKAM $AMZN $ATVI $CA $CHKP $CRM $CSCO $EMC $EQIX $FB $FFIV $G…Pie In The Sky? https://t.co/WiMehfBVyD $AAPL #APPLE $ADBE $AKAM $AMZN $ATVI $CA $CHKP $CRM $CSCO $EMC $EQIX $FB $FFIV $GOOGL $HPE $HPQPie In The Sky? https://t.co/iMNc26lZ0a $AAPL #APPLE $ADBE $AKAM $AMZN $ATVI $CA $CHKP $CRM $CSCO $EMC $EQIX $FB $FFIV $GOOGL $HPE $HPQPie In The Sky? https://t.co/mDDiLk2SVm $AAPL #APPLE $ADBE $AKAM $AMZN $ATVI $CA $CHKP $CRM $CSCO $EMC $EQIX $FB $FFIV $GOOGL $HPE $HPQВсем привет! /  / Мое мнение о вчерашнем рынке. $AKAM не в счет. /  / С днем космонавтики! /  / .. https://t.co/C65fKMIInR$AKAM:

Akamai Technologies, Inc. (AKAM) Upgraded to Strong-Buy at Vetr Inc.:

https://t.co/8y8EFnBsS3Akamai Technologies upgraded by Vetr Inc. to strong-buy. $57.70 PT. https://t.co/UIgY3kqzia $AKAM #AKAMAkamai Technologies upgraded by Vetr Inc. to strong-buy. $57.70 PT. https://t.co/CuhsFlFRp3 $AKAM #AKAMRanks #1 with over 80% in alert gains today. Click here https://t.co/ewcYkLb72h .. $AKAM $GCBC $PSCF",2016-04-12,AKAM,1
