,Tweet content,date,symbol,increase
0,"Nasdaq100 #Stocks Trend $TSCO $EXPD $MAT $AMAT $TXN $ISRG $CHTR $FAST $HSIC $DISCA $CA $VIP $MYL $CERN $FB  @ https://t.co/YdSIjFJqHf$DISCA:

Discovery Communications, Inc. (NASDAQ:DISCA) Market Cap …:

https://t.co/XTJyLUinMF$DISCA +7.82% from new trend started https://t.co/y64x3i3gBF #TradingSystem #Stock#DiscoveryCommunications Inc. ( $DISCA) Position Raised by First Trust Advisors LP. Read more: https://t.co/h5mb7qZjv6$DISCA:

Earnings Glance Discovery Communications, Inc. (NASDAQ:DISCA):

https://t.co/AqtVOj946I$DISCA Discovery Communications To Report First Quarter 2016 Results On Thursday, May 5
From our Stock News Alerts AppWeekly Nasdaq100 #Stocks Trend $VIP $CSCO $EXPD $CHTR $MAT $CA $WFM $SNDK $FAST $INTU $ISRG $DISCA $LLTC $TSCO  @ https://t.co/YdSIjFJqHfWeekly Nasdaq100 #Stocks Performance $TSLA $VIP $CERN $ADSK $BBBY $VIAB $AVGO $WFM $SIRI $DISCA $SWKS $CSCO more@ https://t.co/YdSIjFJqHf",2016-03-10,DISCA,1
1,"$DISCA:

Blue-chip stocks of the day: Discovery Communications, Inc …:

https://t.co/UXRbLFmbRuState Board of Administration of Florida Retirement System Sells 14,911 Shares of Discovery Communications Inc. $DISCA …Discovery Communications Inc. $DISCA Position Raised by California State Teachers Retirement System https://t.co/RrTMvoEWObDiscovery Communications Inc. $DISCA Position Raised by California State Teachers Retirement System https://t.co/FEqaYgmdSfDiscovery Communications Inc. $DISCA Position Raised by California State Teachers Retirement System https://t.co/GoKEqL7XQc #acnActivists could push Lions Gate to deal, if they take on Malone $LGF $NFLX $LBTYA $DISCA $STRZA https://t.co/2zBKrR5780Activists could push Lions Gate to deal, if they take on Malone $LGF $NFLX $LBTYA $DISCA $STRZA #LionsGate #Stocks  https://t.co/BEQbXZ3miNActivists could push Lions Gate to deal, if they take on Malone https://t.co/NsrRnQESCo $LGF $NFLX $LBTYA $DISCAActivists could push Lions Gate to deal, if they take on Malone https://t.co/67XjcaR5DB $LGF $NFLX $LBTYA $DISCAActivists could push Lions Gate to deal, if they take on Malone https://t.co/AecZroTJGV $LGF $NFLX $LBTYA $DISCA$DISCA 20160415 500 trade. ~$1.4 MM notional value.Volume Alert - DISCA 27.61 Discovery Comm A $DISCA Hit a high today of 28.45 Closing the day 10:30 at 27.61 -0 https://t.co/kLCLCmhERg$DISCA:

Value Stock Buzz: Discovery Communications, Inc. (NASDAQ:DISCA):

https://t.co/ZZECnCXUIz#DiscoveryCommunications ( $DISCA) Discovery On the Edge with new adventure series. Read more: https://t.co/fO4FdIwCAZ#DiscoveryCommunications Inc. ( $DISCA) Shares Bought by Commerzbank Aktiengesellschaft FI. Read more: https://t.co/hxPrParlgdDiscovery Communications Inc. $DISCA Shares Bought by Commerzbank Aktiengesellschaft FI https://t.co/R7sTDd42pPBarron's: A New Dawn For Value Stocks $C $TWX $GS $DISCA $MU $INTC $BA $CMI $AMGN $PFE $F $GM $IWD $FB $AMZN $NFLX  https://t.co/WiiHx8xGndWeekly Nasdaq100 #Stocks Trend $LLTC $NTAP $TSCO $AMAT $CA $DISCA $EXPD $PCLN $TXN $AVGO $ISRG $ADP $ROST $CTXS @ https://t.co/YdSIjFJqHf$DISCA",2016-03-14,DISCA,0
2,"#DiscoveryCommunications ( $DISCA) Gillette taps into Discovery's VR expertise to create a uniqu... Read more: https://t.co/UXdHruJwaQJohn Malone Faces Test in Rounding Up the Right Mix of Assets https://t.co/QZUYuw4otO via @Variety $LMCA $LBTYA $LGF $CHTR $DISCA$DISCA:

The EPS Forecast For Discovery Communications, Inc. (NASDAQ …:

https://t.co/cr0dJGqlq3By Obsessing Over The Present, Big Media Has Forgotten Its Past And Endangered Its Future https://t.co/G1sutTiRmc $DISCA $TWX $DISRT @WilyLewis: Just wrapped up chatting with Conal Byrne from @DiscoveryComm at #SXSW. You can hear what $DISCA is doing in VR on Friday's …RT @WilyLewis: Just wrapped up chatting with Conal Byrne from @DiscoveryComm at #SXSW. You can hear what $DISCA is doing in VR on Friday's …RT @WilyLewis: Just wrapped up chatting with Conal Byrne from @DiscoveryComm at #SXSW. You can hear what $DISCA is doing in VR on Friday's …Just wrapped up chatting with Conal Byrne from @DiscoveryComm at #SXSW. You can hear what $DISCA is doing in VR on Friday's @MFIndustryFocusReal-Time feed of company contracts, original agreements and executive updates from $DISCA https://t.co/hA1ww4iXufETFs Are Garnering Voting Power - To Whose Benefit? https://t.co/FSdqAedG29 $BLK $DISCA $IVV $SPY $STT $VTI$DISCA 20160415 500 trade. ~$1.4 MM notional value.#DiscoveryCommunications ( $DISCA) Discovery launches 'One Discovery World' ad sales division. Read more: https://t.co/Syb4rpFvfR#DiscoveryCommunications ( $DISCA) Discovery Creates Unified International Ad Sales Team. Read more: https://t.co/u7xorXQv3gStevens Capital Management LP Buys Shares of 215,018 Discovery Communications Inc. $DISCA https://t.co/3h33UPRPJIStevens Capital Management LP Buys Shares of 215,018 Discovery Communications Inc. $DISCA https://t.co/LFeqAkTdCgDiscovery Communications Inc. $DISCA Earns BBB Credit Rating https://t.co/nIFAzrVlUV$DISCA:

How Many Discovery Communications Inc. (NASDAQ:DISCA)’s …:

https://t.co/IkFzFp6Ofe",2016-03-15,DISCA,1
3,"Nasdaq100 #Stocks Performance $CHTR $VIAB $WYNN $VIP $LBTYA $DISCA $MNST $NVDA $AKAM $YHOO $MYL $CA $SWKS  more@ https://t.co/YdSIjFJqHfNasdaq100 #Stocks Performance $VIAB $CHTR $VIP $WYNN $MNST $DISCA $NVDA $LBTYA $AKAM $YHOO $MYL $PCAR $NTAP more@ https://t.co/YdSIjFJqHfZacks: #DiscoveryCommunications ( $DISCA) Inc. (NASDAQ:DISCB) Given $35.00 Consensus Price Targe... Read more: https://t.co/zHsKSGUXq5New trend started on $DISCA when price was 27.80 https://t.co/y64x3i3gBF #TradingSystem #StockGamco Investors INC. ET AL Increases Position in Discovery Communications Inc. $DISCA https://t.co/XoMEBA9UkF#DiscoveryCommunications ( $DISCA) Three aims to improve UK's digital skills with new Discovery ... Read more: https://t.co/id7PPuWeGpGamco Investors INC. ET AL Increases Position in Discovery Communications Inc. $DISCA https://t.co/kdimvZBSX7#DiscoveryCommunications ( $DISCA) People on the Move - March 15, 2016. Read more: https://t.co/BU3he7EPRy#DiscoveryCommunications ( $DISCA) People on the Move - March 1, 2016. Read more: https://t.co/WxkGo9gJEV",2016-03-16,DISCA,1
4,"Discovery Communications Inc. $DISCA Position Boosted by Russell Frank Co https://t.co/x6NLl38JdoDiscovery Communications Inc. $DISCA Position Boosted by Russell Frank Co https://t.co/nRPyYGtBeD #acnDiscovery Communications Inc. $DISCA Position Boosted by Russell Frank Co https://t.co/rvq8JLMHGtNasdaq100 #Stocks Trend $FAST $VIP $SPLS $DISCA $ADI $PAYX $PCAR $EXPD $CHTR $CMCSA $ADP $CSCO $KLAC $CHRW $MAR @ https://t.co/YdSIjFJqHfNasdaq100 #Stocks Performance $SBAC $FAST $VIAB $VIP $WYNN $SPLS $ADBE $TSLA $MAT $AVGO $DISCA $LRCX $ADI  more@ https://t.co/YdSIjFJqHfOregon Public Employees Retirement Fund Has $1,188,000 Stake in Discovery Communications Inc. $DISCA https://t.co/F1arZd9pi1Top Shorted Stocks 03/17/16... 8. $USMV 83.16% 9. $VGK 80.82% 10. $PGX 79.47% 11. $IEFA 79.25% 12. $NWL 79.15% 13. $DISCA 78.77%...Top Shorted Stocks 03/17/16... 13. $DISCA 78.77% 14. $EEM 78.57%... https://t.co/C62HSRo4lU$DISCA ALERT: New Discovery Communications, Inc SEC Filing
From our Stock News Alerts AppDiscovery Communications's Chief Corp Ops &amp; Comms Officer just disposed of 1,232 shares  https://t.co/s0Htd19dxL $DISCAPres. of Discovery Communications just disposed of 2,322 shares  https://t.co/8Y2c4XOESL $DISCANasdaq100 #Stocks Trend $VIP $FAST $VIAB $SPLS $DISCA $EXPD $CMCSA $CHTR $PAYX $AMAT $ADI $CSCO $PCAR $ADP  @ https://t.co/YdSIjFJqHfNasdaq100 #Stocks Performance $SBAC $VIP $FAST $VIAB $WYNN $SPLS $TSLA $MAT $DISCA $LRCX $EXPD $CMCSA $AVGO more@ https://t.co/oLhnAAiDhrDiscovery on the move :) $disca valueplay$DISCA 20160415 500 trade. ~$1.5 MM notional value.Discovery Communications Breaks Above 200-Day Moving Average - Bullish for $DISCA $PBS #stocks https://t.co/5w8NHKy9PQNasdaq100 #Stocks Trend $VIAB $SPLS $FAST $EXPD $PCAR $DISCA $CMCSA $CHTR $FOXA $CA $FISV $CHRW $WYNN $CSCO  @ https://t.co/YdSIjFJqHfNasdaq100 #Stocks Performance $VIAB $SBAC $SPLS $FAST $EXPD $PCAR $STX $DISCA $CHRW $VIP $WYNN $MAT $CMCSA  more@ https://t.co/YdSIjFJqHf$DISCA: At/Above 200DaySMA[-28.94]:2M, cl:+3, 5NearHi, PrvCHi+, AtPivR1, 22:6Accel+, allTFs+, ch:+1.3%, bigFlt:447M; TLM:1.0RT @intercooleronli: Discovery Communications Inc. $DISCA Position Increased by Capital Fund Management S.A. https://t.co/72BmXQsGZwGabelli Funds LLC Acquires 1,000 Shares of #DiscoveryCommunications ( $DISCA) Inc. (DISCK). Read more: https://t.co/M7Un25j1wi$DISCA - Discovery Communications Inc. #DISCA Assigned ""BBB"" Credit Rating by Morningstar https://t.co/npNCC8eZbcSell-signal detected for 8 stocks: $CTSH $AIV $TWX $DISCA $EOG $ABBV $VIAB $BXP$DISCA:

Key Stocks of the Day: Discovery Communications, Inc. (NASDAQ …:

https://t.co/RnR6vW1IsW",2016-03-17,DISCA,1
5,Discovery Communications Inc. $DISCA Position Lowered by PNC Financial Services Group Inc. https://t.co/yic2b7BdKkNasdaq100 #Stocks Performance $MAR $DLTR $GILD $NFLX $MNST $AAL $VIAB $SBUX $COST $NVDA $VIP $DISCA $MAT  more@ https://t.co/YdSIjFJqHf,2016-03-28,DISCA,1
6,"Our Picks Are Seeing Incredible Gains! Get Exclusive Early Access To Our New Alerts: https://t.co/dWbN7JMySK $INTU $DISCA $LBTYAThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sytfZ $INTU $DISCA $LBTYAOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $INTU $DISCA $LBTYA$SPY stocks floating below their 200 Day $AAL $CRM $RHT $MAR $FCX $DISCA $CNX $CTAS https://t.co/ZKZjedeA3SDiscovery Communications Inc. $DISCA Shares Sold by Pinnacle Associates Ltd. https://t.co/ukkOBJiC4dDiscovery Communications Inc. $DISCA Assigned “BBB” Credit Rating https://t.co/Zi5alamCzOBest-Performing Value Strategies - Part 4: Backtesting The Magic Formula https://t.co/3wDBHZrKsC $AAPL #APPLE $AET $CSCO $DISCA $GILD $HPQBest-Performing Value Strategies - Part 4: Backtesting The Magic Formula https://t.co/x1tcbINFYs $AAPL #APPLE $AET $CSCO $DISCA $GILD $HPQ$DISCA:

Discovery Communications Inc. (NASDAQ:DISCA) Receives …:

https://t.co/nO6Ccxd0LxDiscovery Communications Inc. $DISCA Receives Average Recommendation of “Hold” from Brokerages https://t.co/fXWCxZh5EnMorningstar Assigns “BBB” Credit Rating to Discovery Communications Inc. $DISCA https://t.co/pqY2ePYACK",2016-03-29,DISCA,0
7,"Over 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $INTU $DISCA $LBTYA$DISCA:

Ruling stocks in today’s market: Discovery Communications, Inc …:

https://t.co/yhviAT5kIIPremium Alerts Ranked #1 For Gains 2834% Last Week At https://t.co/ewcYkLb72h .. $VPCO $DISCA $MTSNNational Fuel Gas Larger Than S&amp;P 500 Component Discovery Communications $NFG $DISCA #stocks https://t.co/naEgF5Qpeo$DISCA ALERT: New Discovery Communications, Inc SEC Filing
From our Stock News Alerts App$DISCA: New SEC Filing for DISCA: Form DEFA14A (No. 0001193125-16-523987): https://t.co/Q1ttUIbYLY https://t.co/LZUYc8EccgJBEM is bak 2 sendng out comprehensive DD.Goin bak 2 his roots:  https://t.co/hBrHFNeVvm $DIS $DISCA $DISCK $DISH $DIT $DIV $DIVC $DIVI$DISCA:

First Call Projects An EPS of 0.540 of Discovery Communications …:

https://t.co/RB6CWXLlE2Dimensional Fund Advisors LP Has $18,200,000 Stake in Discovery Communications Inc. $DISCA https://t.co/t0EIbwypEXThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sytfZ $INTU $DISCA $LBTYAOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $INTU $DISCA $LBTYA",2016-03-30,DISCA,1
8,"Over 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $INTU $DISCA $LBTYANasdaq100 #Stocks Performance $VIP $INCY $BMRN $ALXN $ILMN $VIAB $BIIB $WDC $NTAP $DISCA $VRSK $VRTX $PAYX  more@ https://t.co/YdSIjFJqHfToday's Top 5 Technical Gainers among Large Caps: $DO, $HOG, $MLM, $HAS, $DISCA https://t.co/ctFzkw6tom #sccrankings #stockcharts$DISCA ALERT: New Discovery Communications, Inc SEC Filing
From our Stock News Alerts AppNasdaq100 #Stocks Performance $INCY $VIP $BMRN $ALXN $ILMN $VRTX $TSLA $BIIB $VIAB $WDC $NTAP $CELG $DISCA  more@ https://t.co/YdSIjFJqHf$DISCA: Wall Street analysts bullish on DISCA's earnings growth: https://t.co/zwA2AFnDelDiscovery CEO Made $32.4M In 2015, Down 79.3% | Deadline https://t.co/I9lJFfcfym
$DISCAYesterday We Made $94,000 In Just One Trade More Info Here https://t.co/ZMvOsK1CVa .. $INTU $DISCA $LBTYA#Tech, #Telecom, &amp; #Media: Long-Term Opportunities Amid #Software's Storm: https://t.co/9XDm9EFNJN $DIS $VIAB $DISCA https://t.co/hpLQRXZUdSRT @iviewmarkets: High level look at whats working in each sector: $SWN $MRO $RRC $NEM $CHK $HAR $PSA $MNK $BBY $SIG  $SNI $DISCA $IBM http…High level look at whats working in each sector: $SWN $MRO $RRC $NEM $CHK $HAR $PSA $MNK $BBY $SIG  $SNI $DISCA $IBM https://t.co/DdkUNQv3q9Zaslav - $DISCA upfront strategy is similar to last year but a ""deeper drive"" to 20 agencies. #Upfronts2016Three Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sgRRp $INTU $DISCA $LBTYAOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8QMnm $INTU $DISCA $LBTYA$NFLX $DISCA:

Sky’s Soccer Dominance at Stake as Rivals Covet German TV Rights:

https://t.co/bA8qeX5NNMThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sytfZ $INTU $DISCA $LBTYA",2016-03-31,DISCA,1
9,"Parabolic SAR Buy https://t.co/oeM1cWHAh9 $TRCO $ANIP $NJR $SGEN $SAGE $FRGI $VRNT $MDCO $ANF $RHHBY $EXAM $GPS $CBG $CLR $CFX $DISCA $QAIClearly still not happy with $DISCA CEO pay. https://t.co/lsiimpGu2vOpen Ltr 2 $DISCA shareholders re CEO pay https://t.co/lRLfStsKRF @marktfahey @tomkludt @tmfbowman @gmorgenson @addedvalueth @ritholzOpen Ltr 2 $DISCA shareholders re CEO pay https://t.co/lRLfStsKRF @anbfisher @pghwrites @lamonicabuzz @KMaxwellMurphy @jenamcgregorOpen Ltr 2 $DISCA shareholders re CEO pay https://t.co/lRLfStsKRF #CEOpay @angeloyoung @dgelles @CRrileyCNN @mattkrantz @georgszalaiWeekly Nasdaq100 #Stocks Trend $ILMN $DLTR $AMAT $LBTYA $TSLA $SBAC $AAPL $CTXS $FISV $TSCO $VRSK $AMGN $DISCA  @ https://t.co/YdSIjFJqHfViral Video on the Biggest Bubble in the entire U.S. Economy! https://t.co/CY8xcPtqvO
$DVN $DFS $DISCA $DISCK $DG $DLTR $D $DOV $DOW $DPS",2016-04-04,DISCA,0
