,Tweet content,date,symbol,increase
0,"TD Asset Management Inc. Acquires 5,066 Shares of Discovery Communications Inc. $DISCK https://t.co/BmhrBPWCIk$DISCK:

Discovery Communications (DISCK) Short Interest Disclosure:

https://t.co/c6ISfjpT2mPublic Sector Pension Investment Board Has $1,645,000 Stake in Discovery Communications Inc. $DISCK https://t.co/inGwuGHdn9Public Sector Pension Investment Board Has $1,645,000 Stake in Discovery Communications Inc. $DISCK https://t.co/nnlh0MY3F4",2016-03-28,DISCK,1
1,Discovery Communications Inc. $DISCK Stake Boosted by Tributary Capital Management LLC https://t.co/di5BGUD104,2016-03-29,DISCK,0
2,"JBEM is bak 2 sendng out comprehensive DD.Goin bak 2 his roots:  https://t.co/hBrHFNeVvm $DIS $DISCA $DISCK $DISH $DIT $DIV $DIVC $DIVIState of Wisconsin Investment Board Sells 391,767 Shares of Discovery Communications Inc. $DISCK https://t.co/5EZbvfx1z7State of Wisconsin Investment Board Sells 391,767 Shares of Discovery Communications Inc. $DISCK https://t.co/4qXRAuQb2WState of Wisconsin Investment Board Sells 391,767 Shares of Discovery Communications Inc. $DISCK https://t.co/lbadbnV0zy#Discovery Communications : Investigation Discovery : Announces New Series In ... https://t.co/zGuJUE84qY $DISCK",2016-03-30,DISCK,1
3,TSP Capital Management Group LLC Continues to Hold Position in Discovery Communications Inc. $DISCK https://t.co/2OnrHLH2nITSP Capital Management Group LLC Continues to Hold Position in Discovery Communications Inc. $DISCK https://t.co/NbXjeMkvXiPremium Alerts Ranked #1 For Gains 2834% Last Week At https://t.co/ewcYkLb72h .. $DISCK $MULT $VNOM,2016-03-31,DISCK,1
4,"Parabolic SAR Buy https://t.co/oeM1cWHAh9 $PAY $DISCK $ALSN $VEEV $ZAYO $GCP $TCEHY $VNET $WMGI $ATRC $TWTR $RNG $RRD $CG $OMER $FIT $NIO$DISCK: Wall Street analysts bullish on DISCK's earnings growth: https://t.co/KqYAkUzhcrViral Video on the Biggest Bubble in the entire U.S. Economy! https://t.co/CY8xcPtqvO
$DVN $DFS $DISCA $DISCK $DG $DLTR $D $DOV $DOW $DPS",2016-04-04,DISCK,0
5,"First Trust Advisors LP Purchases 26,986 Shares of Discovery Communications Inc. $DISCK https://t.co/psKbhfwKHgFirst Trust Advisors LP Purchases 26,986 Shares of Discovery Communications Inc. $DISCK https://t.co/5fXwjEdC6dFirst Trust Advisors LP Purchases 26,986 Shares of Discovery Communications Inc. $DISCK https://t.co/agHzBjsNCNGAM Holding AG Reduces Stake in Discovery Communications Inc. $DISCK https://t.co/eX0oN8qWvfCYDY running, FLKS is just starting: https://t.co/lwSyWTPq3b $DIS $DISCA $DISCK $DISH $DIT $DIV $DIVC $DIVI",2016-04-05,DISCK,1
6,"Great watchlist to finish the week green
$OMC $SRPT $BGCP $AR $MMM $DISCK $SABR $MIK $ERY $UA $WRK https://t.co/txr19PrWY1Viral Video on the Biggest Bubble in the entire U.S. Economy! https://t.co/CY8xcPtqvO
$DVN $DFS $DISCA $DISCK $DG $DLTR $D $DOV $DOW $DPS",2016-04-06,DISCK,0
7,"Boston Partners Has $4,442,000 Position in Discovery Communications Inc. $DISCK https://t.co/sP4NSCGx8CBoston Partners Has $4,442,000 Position in Discovery Communications Inc. $DISCK https://t.co/6MiLMdMtKA$DG $DISCK:

Three Buzzers to Observe: https://t.co/AIz3TCfDX9, (NASDAQ:AMZN) , Dollar …:

https://t.co/XXDyqfuqwO",2016-04-07,DISCK,1
8,Discovery Communications Inc. $DISCK Position Lowered by Atlantic Trust Group LLC https://t.co/ZeHxgLvlZI,2016-04-11,DISCK,1
9,"Breakout watch for WED $BSX $DISCK $G $HTA $NJR $OGE $WU$DISCK: Wall Street analysts bullish on DISCK's earnings growth: https://t.co/KqYAkUzhcr$GPN $DISCK:

Noteworthy Stocks: Global Payments Inc. (NYSE:GPN) , Discovery …:

https://t.co/l04ZpStLTiRanks #1 with over 80% in alert gains today. Click here https://t.co/ewcYkLb72h .. $DISCK $MULT $VNOM",2016-04-12,DISCK,1
10,Gulf International Bank UK Ltd Continues to Hold Stake in Discovery Communications Inc. $DISCK https://t.co/OEHpfZzuONGulf International Bank UK Ltd Continues to Hold Stake in Discovery Communications Inc. $DISCK https://t.co/kHSUPCCBClJBEM pick FLKS data release on 4/19. Read here: https://t.co/RJhHbIwnlX $DIS $DISCA $DISCK $DISH $DIT $DIV $DIVC $DIVIDiscoveryCommunications hits a 1 week high https://t.co/spEMWVglqQ $DISCK #DiscoveryCommunications https://t.co/oUvUroZsb0,2016-04-13,DISCK,0
11,"Get the latest ratings for $SUN $TCI $EGL $DISCK $MEET in your inbox with MarketBeat Daily https://t.co/nSJuDsYidjVictory Capital Management Inc. Has $34,004,000 Stake in Discovery Communications Inc. $DISCK https://t.co/SqypUcJD2aDiscovery Communications Inc. $DISCK Stake Raised by State of New Jersey Common Pension Fund D https://t.co/8M6iT7i4oB",2016-04-14,DISCK,0
12,"Premium Alerts Ranked #1 For Gains 2834% Last Week https://t.co/ewcYkLb72h .. $DISCK $MULT $VNOM$KMX $DISCK:

Investors Reviewing Stocks: CarMax Inc (NYSE:KMX) , Discovery …:

https://t.co/GRPqhSMXrDJBEM releases new pick 'MBVX'.Full DD here:  https://t.co/BXfT4dyvo5 $DIS $DISCA $DISCK $DISH $DIT $DIV $DIVC $DIVI",2016-04-18,DISCK,0
13,"HBO gets into VR with investment in OTOY https://t.co/ia4bfqk9Wk via @techcrunch
$TWX $DISCKHBO, Discovery invest in holographic content firm $TWX $DISCA $DISCB $DISCK https://t.co/fumx5GE0KO$TWX $DISCK https://t.co/H3CJoIcwDgHBO and Discovery invest in OTOY to create universal publishing platform for TV, movies and origi... https://t.co/t924peFmQs
$TWX $DISCKTechnical action by S&amp;P 500 stocks to 10:15: Bullish. Breakouts: $DISCK,$TGT,$PG,$BK,$TMK,$ABC,$UHP,$MDT,$UNH,$PWR,$SWK,$AA,$EMN,$FCX,IFF.",2016-04-19,DISCK,0
14,"Wells Fargo &amp; Company MN Sells 290,264 Shares of Discovery Communications Inc. $DISCK https://t.co/DMS3SvqDfbWells Fargo &amp; Company MN Sells 290,264 Shares of Discovery Communications Inc. $DISCK https://t.co/oPzK2w9avkScan results - Hammer Candlestick today: $LMCK $NTAP $BATRA $PNY $SPLS $NATI $DISCK $DISCA $XHR $MASI ... https://t.co/8pSnzzAezn$AN $DISCK:

Noticeable Price Moves: AutoNation, Inc. (NYSE:AN) , Discovery …:

https://t.co/hVsNLKzsm5$DISCK:

Short Interest in Discovery Communications Inc. (DISCK) Declines …:

https://t.co/QmSKKypyJzShort Interest in Discovery Communications Inc. $DISCK Declines By 40.1% https://t.co/t51taeysdI",2016-04-20,DISCK,1
15,"$DISCK $DSW:

On the move Services Stocks trend: Discovery Communications, Inc …:

https://t.co/yT3ysMBcM1",2016-04-21,DISCK,1
16,"Cedar Hill Associates LLC Sells 15,825 Shares of Discovery Communications Inc. $DISCK https://t.co/t3rbmzq6Cl$DISCK: Topeka Capital Markets cuts to Hold$LPX $DISCK:

Investors Focused Movers: Louisiana-Pacific Corporation (NYSE …:

https://t.co/wVbNO5RLi4",2016-04-25,DISCK,1
17,"Eaton Vance Management Cuts Stake in Discovery Communications Inc. $DISCK https://t.co/TCPRyQpAU6RT @txlaw_v2: $DISCK https://t.co/Urgdp66CVn$DISCK https://t.co/Urgdp66CVnDiscovery Communications buying into Asian rugby https://t.co/vrzgk0lxsZ $DISCA $DISCB $DISCKDiscovery Communications buying into Asian rugby https://t.co/WXqSH4hx6G $DISCA $DISCB $DISCKDiscovery Communications buying into Asian rugby https://t.co/3sLybNdAH6 $DISCA $DISCB $DISCKchartguy89: 2016 Trending Stocks: DISCK 27.61 Stock Charts $DISCK Discovery https://t.co/rwxTxbK2LoCornerstone Capital Management Holdings LLC. Sells 46,924 Shares of Discovery Communications Inc. $DISCK https://t.co/H4GYkBPV2O",2016-04-27,DISCK,0
18,$DISCK: Wall Street analysts bullish on DISCK's earnings growth: https://t.co/KqYAkUzhcrTopeka Capital Markets Lowers Discovery Communications Inc. $DISCK to Hold https://t.co/0EA94iG3Qk,2016-04-28,DISCK,0
19,"DISCK 27.50 Discovery Comm Inc $DISCK added to my watch list. Right now with DISCK I am watching the last pric https://t.co/f616J2ruekGolden Cross on $IFF $ESS $DISCK! 50MA crossed above 200MA. Chart here: https://t.co/9H5g5VlBX4 #stocks https://t.co/ksAuVanvqC$DISCK technical alerts: Expansion Pivot Buy Setup, Bollinger Band Squeeze, Golden Cross, Upside ... https://t.co/Uu00LRunOA",2016-05-03,DISCK,0
