,Tweet content,date,symbol,increase
0,"A bullish Big MAC (Bullish) has occurred at 3:45 PM Mar 28 at  $99.60 on Fiserv Inc (FISV) $FISV  https://t.co/zg8bOPwA1G$CAFN Cachet Financial Solutions FREE REPORT https://t.co/1x6MLaGp0d $JKHY #fintech #remotedepositcapture $FISV https://t.co/xO59TW90Z2$FISV:

Stock in Momentum Fiserv, Inc. (NASDAQ:FISV):

https://t.co/8F4at7HymNFiserv Inc $FISV Shares Sold by State of Wisconsin Investment Board https://t.co/hFEqnocJ75Fiserv Inc $FISV Shares Sold by State of Wisconsin Investment Board https://t.co/BcNfpiqF51$FISV:US Legacy Capital Partners Inc. Boosts Stake in Fiserv Inc (FISV) #FISERV INC  https://t.co/zuneg8rrxn #NASDAQ$FISV:US Legacy Capital Partners Inc. Boosts Stake in Fiserv Inc (FISV) #FISERV INC  https://t.co/BoEIjNHkBM #SP500Tributary Capital Management LLC Decreases Stake in Fiserv Inc $FISV https://t.co/qcOD62OVEJTributary Capital Management LLC Decreases Stake in Fiserv Inc $FISV https://t.co/dFCSDxLb58Hunter Associates inc. Sells 1,822 Shares of Fiserv Inc $FISV https://t.co/S4hIBON6ls$FISV: Wall Street analysts bullish on FISV's earnings growth: https://t.co/FeBwYp7TbM",2016-03-28,FISV,1
1,"S&amp;P500 #Stocks Trend $UHS $LRCX $CSC $ISRG $YHOO $NTAP $KIM $NWL $HCN $AAPL $MKC $VTR $FISV $FB $MHFI $KLAC  @ https://t.co/RPeaHBHYi0Nasdaq100 #Stocks Trend $LRCX $ISRG $YHOO $NTAP $AAPL $FISV $FB $KLAC $SPLS $CTXS $NVDA $TXN $ADP $VRSK $CMCSA  @ https://t.co/YdSIjFJqHf$FISV:US  Care to accept donations via Fiserv Popmoney #FISERV INC  https://t.co/SzsHHjZOR6 #NASDAQNew Uptrend https://t.co/0MM8mbzo1S $ODP $FISV $SPG $DLR $TXN $CDRB $HRG $THD $PSB $FIX $NILE $TIER $NPP $ALEX $ACRE $MNTA $MXL $TYL$FISV:US  Care to accept donations via Fiserv Popmoney #FISERV INC  https://t.co/r4QhW7acdk #SP500Our Picks Are Seeing Incredible Gains! Get Exclusive Early Access To Our New Alerts: https://t.co/dWbN7JMySK $VRTX $FISV $CAno trades today...currently 168.4% net long…ended the day up 1.74% thanks to $MKC (+2.3%), $FISV (+2.2%), $BF.B (+2.0%) and $WCN (+2.0%)S&amp;P500 #Stocks Trend $LRCX $UHS $ISRG $BSX $YHOO $EW $MKC $CSC $HCN $KIM $FISV $AIV $NWL $SPLS $BAX $CTXS $VTR @ https://t.co/RPeaHBHYi0Nasdaq100 #Stocks Trend $LRCX $ISRG $YHOO $BIDU $FISV $SPLS $CTXS $KLAC $FB $TXN $NVDA $VRSK $ADP $CHKP $CMCSA  @ https://t.co/YdSIjFJqHf#Fintech Firm Cachet Financial Solutions, Inc. $CAFN Trading Up +9.05% FREE REPORT at Vista Partners https://t.co/1x6MLaGp0d $JKHY $FISVThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sytfZ $VRTX $FISV $CAOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $VRTX $FISV $CA$FISV:US  Care to accept donations via Fiserv Popmoney #FISERV INC  https://t.co/lG4ELnbPth #NASDAQSFTW Investor long-term stock recommendation: $FISV Fiserv, Inc. (SS: 48) https://t.co/ajLDr7suct$FISV CARE Makes Donating More Convenient with Popmoney https://t.co/aVeqntHsHB$FISV CARE Makes Donating More Convenient with Popmoney
From our Stock News Alerts Apphttps://t.co/Y6kI4CILXn &lt;- Signup for @Timothysykes silver plan to get access to 3000 video lessons! $BRZU $CHL $FISV $VNQ $CRMD #stocksNorinchukin Bank The Has $2,419,000 Stake in Fiserv Inc $FISV https://t.co/buuXHcqxGwNorinchukin Bank The Has $2,419,000 Stake in Fiserv Inc $FISV https://t.co/S1nLWKwsdmNBT Bank N A NY Decreases Stake in Fiserv Inc $FISV https://t.co/p9onGHSsbSNBT Bank N A NY Decreases Stake in Fiserv Inc $FISV https://t.co/JMUAVa6odYMorningstar Gives “BBB+” Credit Rating to Fiserv Inc $FISV https://t.co/sZdlGPfjcoMorningstar Gives “BBB+” Credit Rating to Fiserv Inc $FISV https://t.co/i5Xjr7B8zP",2016-03-29,FISV,1
2,"Over 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $VRTX $FISV $CANasdaq100 #Stocks Trend $CHKP $DLTR $AMAT $AVGO $AAPL $TXN $CTSH $CSCO $NVDA $YHOO $HSIC $INTU $LLTC $FISV  @ https://t.co/YdSIjFJqHfJBEM is bak 2 sendng out comprehensive DD.Goin bak 2 his roots:  https://t.co/hBrHFNeVvm $FISV $FIT $FITB $FITBI $FIVE $FIVN $FIW $FIXA bullish Big MAC (Bullish) has occurred at 3:00 PM Mar 30 at  $102.16 on Fiserv Inc (FISV) $FISV  https://t.co/zg8bOPwA1GNasdaq100 #Stocks Trend $CHKP $AMAT $DLTR $AAPL $CTSH $AVGO $TXN $CSCO $NVDA $YHOO $HSIC $INTU $FISV $LLTC  @ https://t.co/YdSIjFJqHfFiserv Inc $FISV Position Boosted by Choate Investment Advisors https://t.co/oXLkd8W2qx$CAFN Cachet Financial Up +12.77% Cornerstone Credit Union League Annual Expo https://t.co/8RiVybuh7C #fintech $FISV https://t.co/sXkvZVHe1OChoate Investment Advisors Acquires 2,315 Shares of Fiserv Inc $FISV https://t.co/YVlus0xneehttps://t.co/1Q1lKHYiU4 &lt;- Signup for @Timothysykes silver plan to get access to 3000 video lessons! $BRZU $CHL $FISV $VNQ $CRMD #stocks$FISV:

New Insider Transaction on FISV by Group President:

https://t.co/CEb5jzCyh4$FISV New SEC Document(s) for Fiserv, Inc.
From our Stock News Alerts AppA bullish Big MAC (Bullish) has occurred at 10:15 AM Mar 30 at  $102.00 on Fiserv Inc (FISV) $FISV  https://t.co/zg8bOPwA1G$FISV:US Gulf International Bank UK Ltd Purchases 400 Shares of Fiserv Inc (FISV) #FISERV INC  https://t.co/OfNDHUsuNm #NASDAQ#Fintech provider Cachet Financial Solutions, Inc. $CAFN Trading Up Again Early +4.04% https://t.co/FPR3TTn91X $JKLY $FISV $FIS #unbanked$FISV:US Gulf International Bank UK Ltd Purchases 400 Shares of Fiserv Inc (FISV) #FISERV INC  https://t.co/E327OOj6OJ #SP500$FISV Three Credit Unions Implement DNA Core Account Processing Platform and Integrated Solutions from Fiserv
From our Stock News Alerts App#Fiserv : Three Credit Unions Implement DNA Core Account Processing Platform a... https://t.co/JCQc6Zj0U2 $FISV$FISV Three Credit Unions Implement DNA Core Account Processing Platform and Integrated Solutions from Fiserv https://t.co/aVeqntHsHB$FISV technical alerts: 180 Bullish Setup, Non-ADX 1,2,3,4 Bullish, Expansion Breakout, Reversal N... https://t.co/46q8l0GDR3Weekly Nasdaq100 #Stocks Trend $SPLS $NVDA $FB $DLTR $YHOO $LRCX $ISRG $FISV $CMCSA $KLAC $VRSK $AAPL $TXN $ADP @ https://t.co/YdSIjFJqHfThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sytfZ $VRTX $FISV $CAOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $VRTX $FISV $CA",2016-03-30,FISV,1
3,"Nasdaq100 #Stocks Trend $VIP $VIAB $NTAP $VRSK $CHKP $INTU $YHOO $AMAT $ADP $BIDU $FISV $ISRG $CMCSA $CTSH  @ https://t.co/YdSIjFJqHf$FISV:US  Bank of Ceylon upgrades core systems with Fiserv #FISERV INC  https://t.co/GWPMIgi0Jx #NASDAQ$FISV:US  Bank of Ceylon upgrades core systems with Fiserv #FISERV INC  https://t.co/M4IRhyi6tR #SP500All-Time Highs via @Stocks_Live $AEP $ALGN $ALRM $AVGO $BRO $CINF $CONE $CPRT $CUBE $ED $EFX $ELLI $EXR $FISV $G https://t.co/SY7RHWRKPJLarge O.I. Increases - 03.31.16 - $BAC $VALE $MO $FTR $JCP $VRX $FISV https://t.co/KqiOhwuCzVmonthly recap: my 27 long positions are $ACGL, $AZO, $BCR, $BDX, $BF.B, $BRK.A, $CASY, $CHD, $CNI, $DHR, $ECL, $ENB, $FISV, $GWW, $HRL,Nasdaq100 #Stocks Trend $VIAB $VRSK $CHKP $AMAT $BIDU $INTU $ADP $ISRG $CMCSA $CTSH $YHOO $FISV $CSCO $AAPL  @ https://t.co/YdSIjFJqHfThese two companies will eliminate bank tellers.  Jack Henry &amp; Associates, $jkhy and $fisv invest in them unfortunately bc it's started.Teacher Retirement System of Texas Cuts Stake in Fiserv Inc $FISV https://t.co/JRTrYJiHHNTeacher Retirement System of Texas Cuts Stake in Fiserv Inc $FISV https://t.co/adbAZSCvxWA bullish Big MAC (Bullish) has occurred at 11:00 AM Mar 31 at  $102.42 on Fiserv Inc (FISV) $FISV  https://t.co/zg8bOPwA1GNasdaq100 #Stocks Trend $BIDU $VRSK $INTU $ISRG $CHKP $AMAT $CMCSA $FISV $CSCO $YHOO $HSIC $AAPL $DLTR $CTSH  @ https://t.co/YdSIjFJqHfYesterday We Made $94,000 In Just One Trade More Info Here https://t.co/ZMvOsK1CVa .. $VRTX $FISV $CA$FISV:US  Bank of Ceylon upgrades core systems with Fiserv #FISERV INC  https://t.co/XJ7kTF1AYe #NASDAQ$FISV:US  Bank of Ceylon upgrades core systems with Fiserv #FISERV INC  https://t.co/Bp0ViNM04U #SP500Financial services technology provider $FISV said Bank of Ceylon expanded its relationship with https://t.co/FJgUdb7PbnOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8QMnm $VRTX $FISV $CAFiserv Inc $FISV Stake Increased by Golub Group LLC https://t.co/DHiKEfeOH7Fiserv Inc $FISV Stake Increased by Golub Group LLC https://t.co/K9ckVnRSk4Fiserv Inc $FISV Stake Increased by Golub Group LLC https://t.co/GkJQTmeq2QPremium Alerts Ranked #1 For Gains 2834% Last Week At https://t.co/ewcYkLb72h .. $INO $SIEB $FISV$FISV Bank of Ceylon Upgraded its Core Banking and Front-end Teller Systems with Signature and Teller from Fi
From our Stock News Alerts App$FISV:

Bank of Ceylon Upgraded its Core Banking and Front-end Teller …:

https://t.co/ZKBZl8La3UThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sgRRp $VRTX $FISV $CA",2016-03-31,FISV,1
4,"$FISV:

FISERV INC (NASDAQ:FISV): Target Price of 93.111 expected:

https://t.co/ZCfEnvzcuSA bullish Big MAC (Bullish) has occurred at 1:45 PM Apr 04 at  $102.99 on Fiserv Inc (FISV) $FISV  https://t.co/zg8bOPwA1G$FISV Fiserv to Release First Quarter Earnings Results on May 5, 2016 https://t.co/aVeqntHsHB$FISV Fiserv to Release First Quarter Earnings Results on May 5, 2016
From our Stock News Alerts AppWeekly Nasdaq100 #Stocks Trend $ILMN $DLTR $AMAT $LBTYA $TSLA $SBAC $AAPL $CTXS $FISV $TSCO $VRSK $AMGN $DISCA  @ https://t.co/YdSIjFJqHfFiserv Inc $FISV Stake Decreased by MUFG Americas Holdings Corp https://t.co/zS71LyNW0LFiserv Inc $FISV Stake Decreased by MUFG Americas Holdings Corp https://t.co/5qjAQxM8JRHugh Johnson Advisors LLC Has $6,141,000 Stake in Fiserv Inc $FISV https://t.co/OZb0grYLlbHugh Johnson Advisors LLC Has $6,141,000 Stake in Fiserv Inc $FISV https://t.co/Accr2nC5iCViral Video on the Biggest Bubble in the entire U.S. Economy! https://t.co/CY8xcPtqvO
$FB $FAST $FRT $FDX $FIS $FITB $FSLR $FE $FISV $FLIR",2016-04-04,FISV,0
5,"$FISV:

New SEC Filing for FISV: Form DEF 14A (No. 0001193125-16-530795):

https://t.co/GS7ddHCcGu https://t.co/580OkRUjvb$FISV New SEC Document(s) for Fiserv, Inc.
From our Stock News Alerts AppBailard Inc. Invests $1,427,000 in Fiserv Inc $FISV https://t.co/HAZFMntkyz$FISV received a new alert. Find out why at https://t.co/nZwqReM0tj #stocks #daytrading #trading #mkt  #NYSE #NASDAQ #markets 60Fiserv Inc $FISV Stake Raised by Atlantic Trust Group LLC https://t.co/A4AmyVD6DmCYDY running, FLKS is just starting: https://t.co/lwSyWTPq3b $FISV $FIT $FITB $FITBI $FIVE $FIVN $FIW $FIX$FISV Cuscal Limited Selects Fiserv to Enable Delivery of Automated Cash and ATM Network Management for Financ... https://t.co/aVeqntHsHB$FISV Cuscal Limited Selects Fiserv to Enable Delivery of Automated Cash and ATM Network Management for Finan
From our Stock News Alerts App",2016-04-05,FISV,1
6,"180 Bullish https://t.co/j5Ufe4aNwK $SRPT $EWM $ERIC $ACAD $FISV $ANTM $MDVN $CCE $BSX $HIMX $ABC $GERN $AKRX $ARRY $MGM $AMGN $LKQ $MDY4 Great Long Term Momentum Charts For #Volatile Markets $BMY $FISV $MSFT $GOOGL https://t.co/TGOKINT3bZScan results - 1,2,3 Pullback Bullish today: $VIV $JAH $KEP $FISV $SIMO $IART $URBN $CNL $UGI $CTRE ... https://t.co/svGVKuy3r1Scan results - Bullish Engulfing today: $BHI $GDDY $WAT $EVHC $PFSW $STJ $FISV $SIMO $SPLS $LVNTA ... https://t.co/ZZtes154x5$FISV New SEC Document(s) for Fiserv, Inc.
From our Stock News Alerts App4 Great Long Term Momentum Charts For #Volatile Markets $BMY $FISV $MSFT $GOOGL https://t.co/IXuMEMIJxG$ACN $FISV:

Accenture plc (NYSE:ACN) Takeovers Acquisition of Majority …:

https://t.co/aNOPBhN3vBhttps://t.co/1Q1lKHYiU4 &lt;- Signup for @Timothysykes silver plan to get access to 3000 video lessons! $BRZU $CHL $FISV $VNQ $CRMD #stocks$NOK $FISV:

Hotspot Stocks in Hit List- Nokia (NYSE:NOK), https://t.co/82ajOTZKwd …:

https://t.co/hFJdzegHbf4 Great Long Term Momentum Charts For #Volatile Markets $BMY $FISV $MSFT $GOOGL https://t.co/TGOKINT3bZNelson Van Denburg &amp; Campbell Wealth Management Group LLC Increases Stake in Fiserv Inc $FISV https://t.co/my8gMwpHO3Nelson Van Denburg &amp; Campbell Wealth Management Group LLC Increases Stake in Fiserv Inc $FISV https://t.co/y1b2y4jcYNFiserv Inc $FISV Receives BBB+ Credit Rating from Morningstar https://t.co/2kZt1SvJsAFiserv Inc $FISV Receives BBB+ Credit Rating from Morningstar https://t.co/Wt2wFrPbAzhttps://t.co/Y6kI4CILXn &lt;- Signup for @Timothysykes silver plan to get access to 3000 video lessons! $BRZU $CHL $FISV $VNQ $CRMD #stocks",2016-04-06,FISV,0
7,"RT @EveryDayPicks83: TOP 5 STOCK PICKS FOR FRIDAY 4/08/16 1) $SWHC 2) $EFII 3) $FISV 4) $GGG 5) $NEE

#wallsteet #stockmarket #finance #sto…RT @EveryDayPicks83: TOP 5 STOCK PICKS FOR FRIDAY 4/08/16 1) $SWHC 2) $EFII 3) $FISV 4) $GGG 5) $NEE

#wallsteet #stockmarket #finance #sto…RT @EveryDayPicks83: TOP 5 STOCK PICKS FOR FRIDAY 4/08/16 1) $SWHC 2) $EFII 3) $FISV 4) $GGG 5) $NEE

#wallsteet #stockmarket #finance #sto…RT @EveryDayPicks83: TOP 5 STOCK PICKS FOR FRIDAY 4/08/16 1) $SWHC 2) $EFII 3) $FISV 4) $GGG 5) $NEE

#wallsteet #stockmarket #finance #sto…TOP 5 STOCK PICKS FOR FRIDAY 4/08/16 1) $SWHC 2) $EFII 3) $FISV 4) $GGG 5) $NEE

#wallsteet #stockmarket #finance #stock #cnbc #cnn #foxnewsBullish Pullback https://t.co/Z8Od2dn670 $GXP $ADP $HPQ $SNI $BDN $PEG $PGR $AAPL $XLP $NUE $TXN $MWA $KLAC $VTR $BKS $FISV $SPG $GLW$FISV:US Fiserv Inc (FISV) Stake Increased by Cibc World Markets Corp #FISERV INC  https://t.co/KQDlJbfoys #SP500$FISV:

Fiserv Incorporated (NASDAQ:FISV) Shorted Shares Increased …:

https://t.co/bfZOtOVT4S$FISV:

Valuation Of Fiserv, Inc. (NASDAQ:FISV):

https://t.co/O2G8gsNe2c$FISV:US Fiserv Inc (FISV) Stake Increased by Cibc World Markets Corp #FISERV INC  https://t.co/VxinClxn2Y #SP500$FISV: Wall Street analysts bullish on FISV's earnings growth: https://t.co/FeBwYp7TbMFiserv Inc $FISV Stake Increased by Cibc World Markets Corp https://t.co/LepNLuLCX1Fiserv Inc $FISV Stake Increased by Cibc World Markets Corp https://t.co/LHpQQIi93aFiserv Inc $FISV Sees Unusually-High Trading Volume https://t.co/0hbYTrH6aP$FISV a new long IF 101.8 is broken; targets are 103.53, 105.26, &amp; 114.52. Bears must retake 91.76. $QQQ $NQ_F $NDX https://t.co/r0e5znPm6J",2016-04-07,FISV,1
8,"3 ways to get into Fiserv https://t.co/HaRS00BCFt $FISVRT @harmongreg: added some $FISV Jun 100/95 1x2 Put Spreads for 8-10ct credit, per this ===&gt; https://t.co/HaRS00BCFtadded some $FISV Jun 100/95 1x2 Put Spreads for 8-10ct credit, per this ===&gt; https://t.co/HaRS00BCFt$FISV https://t.co/hmzCjxozfK3 ways to get into Fiserv - Dragonfly Capital https://t.co/HaRS00BCFt $FISV https://t.co/QheC93gv3q3 ways to get into Fiserv - Dragonfly Capital $FISV.. https://t.co/PvSPCS76nI$FISV Cheryl Nash of Fiserv to Lead Industry Initiative to Attract Women to Careers in Wealth Management https://t.co/aVeqntHsHB$FISV Cheryl Nash of Fiserv to Lead Industry Initiative to Attract Women to Careers in Wealth Management
From our Stock News Alerts AppCommonwealth of Pennsylvania Public School Empls Retrmt SYS Sells 140 Shares of Fiserv Inc $FISV https://t.co/uzCz59I6sW$AHP $FISV:

Hot Alert: SunEdison, Inc. (NYSE:SUNE), Ashford Hospitality Prime …:

https://t.co/WbP2EWK6hchttps://t.co/Y6kI4CILXn &lt;- Signup for @Timothysykes silver plan to get access to 3000 video lessons! $BRZU $CHL $FISV $VNQ $CRMD #stocksSuntrust Banks Inc. Increases Position in Fiserv Inc $FISV https://t.co/ojVP9x6peJ$FISV:

Fiserv Inc (FISV) Given BBB+ Credit Rating:

https://t.co/PlC2WFmFnqFiserv Inc $FISV Given BBB+ Credit Rating https://t.co/0zT7J0OgJX",2016-04-11,FISV,1
9,"1234 Bullish https://t.co/OFwk5YvHzD $MACK $TIF $TSLA $DKS $GNCA $GERN $COH $MPEL $ASNA $WBA $FISV $INTU $UNH $ACAD $KATE $HIG $AEE $STZ$FISV:

Fiserv, Inc. (NASDAQ:FISV) Check on Analyst Ratings:

https://t.co/fWNeBcdWcJA bullish Big MAC (Bullish) has occurred at 3:45 PM Apr 12 at  $100.05 on Fiserv Inc (FISV) $FISV  https://t.co/zg8bOPwA1G$FISV Intracoastal Bank Supports Growing Small Business Client Base with Addition of Mobiliti Business Mobile
From our Stock News Alerts App$FISV Intracoastal Bank Supports Growing Small Business Client Base with Addition of Mobiliti Business Mobile ... https://t.co/aVeqntHsHBPossible swing plays based on UOA (4/11/16): $AIG $DHR $ENDP $FISV $FIT $JWN $KR $NKE $SYNA $TIF  $XRTSchwab Charles Investment Management Inc. Purchases 9,614 Shares of Fiserv Inc $FISV https://t.co/CnRoz0WUIS$FISV:US American International Group Inc. Decreases Position in Fiserv Inc (FISV) #FISERV INC  https://t.co/cx1CeNZ5zY #NASDAQRanks #1 with over 80% in alert gains today. Click here https://t.co/ewcYkLb72h .. $INO $SIEB $FISV",2016-04-12,FISV,1
