,Tweet content,date,symbol,increase
0,"$FOX Deadpool is officially the highest-grossing R-rated movie ever https://t.co/KZs8CTTznX via @verge$FOX up on rsn's being screwedZacks Investment Research Lowers Twenty-First Century Fox Inc $FOX to Sell https://t.co/vgEbsEknL5#TwentyfirstCenturyFox Twenty-First Century Fox Inc (A) Shares Bought by Morgan Stanley. Read more: https://t.co/bLwGpAa37y $FOXMorgan Stanley Has $475,947,000 Stake in Twenty-First Century Fox Inc $FOX https://t.co/YsuD8PV0MbMorgan Stanley Has $475,947,000 Stake in Twenty-First Century Fox Inc $FOX https://t.co/iuXEPViYjp$FOX:

Twenty-First Century Fox Inc (NYSE:FOX) Receives $32.06 …:

https://t.co/uHgqaCYKGX$FOX:

Twenty-First Century Fox Inc – Get News &amp; Ratings Daily:

https://t.co/uzejjXee3H$FOX:

Large Outflow of Money Witnessed in Twenty-First Century Fox:

https://t.co/YGXCyQzmZjפוקס
מצגת לשוק ההון - מרץ 2016
$FOX

https://t.co/UeslH3EPwG",2016-03-28,FOX,1
1,"$PSON $FOX $FOXA:

Former Fox News Commentator Settles With SEC:

https://t.co/e1J7BI0EIk$CNN $FOX $FOXA:

Fox News Scores Top Cable Ratings Amid Primaries:

https://t.co/Y88itnmepV""Deadpool"" tops ""American Sniper"" to become North America's No. 2 R-rated movie. Is there another $20M left to top ""The Passion?"" $FOX$FOX:

Do Institutional Investors Love Fox Entertainment Group Inc …:

https://t.co/w0lVKlfIik#21st Century Fox : FOX News Channel : Tops Basic Cable for the Quarter in Bot... https://t.co/KG6G5Pm1Dk $FOXTwenty-First Century Fox Inc $FOX Rating Lowered to Sell at Zacks Investment Research https://t.co/30K9K4lbG9$FOX:

Analyst Coverage Updates – Twenty-First Century Fox, Inc …:

https://t.co/0Imxtw5YycOlstein Capital Management L.P. Has $6,208,000 Stake in Twenty-First Century Fox Inc $FOX https://t.co/gQ7c7ov9EiOlstein Capital Management L.P. Has $6,208,000 Stake in Twenty-First Century Fox Inc $FOX https://t.co/KWF9pXbIsf",2016-03-29,FOX,1
2,"How to Stay Relevant in a Competitive Market  https://t.co/NMO6NAXjaM $syy $im $ko $lmt $fox $jci $pagp $int $chscp $aal#TwentyfirstCenturyFox 21st Century Fox eyes minority slice of Paramount Pictures. Read more: https://t.co/UEtLYk65Yb $FOX#TwentyfirstCenturyFox Twenty-First Century interested in Paramount deal: source. Read more: https://t.co/MASAQ4E8rI $FOX#TwentyfirstCenturyFox Twenty-First Century said to be interested in Paramount deal. Read more: https://t.co/PytU4KoaSF $FOXReports: Fox interested in stake in Paramount https://t.co/Xsq8LOYrPL $FOX $FOXA $VIA $VIABReports: Fox interested in stake in Paramount https://t.co/BO5OPY3yXk $FOX $FOXA $VIA $VIABReports: Fox interested in stake in Paramount https://t.co/rKMgHfdDXG $FOX $FOXA $VIA $VIAB#TwentyfirstCenturyFox Twenty-First Century interested in Paramount deal: source. Read more: https://t.co/dB5zBCuEXy $FOX#TwentyfirstCenturyFox Twenty-First Century interested in Paramount stake - NY Post. Read more: https://t.co/I21xeAuW2v $FOX#TwentyfirstCenturyFox Twenty-First Century interested in Paramount deal: source. Read more: https://t.co/uje6YyJV3R $FOX#TwentyfirstCenturyFox Twenty-First Century interested in Paramount deal: source. Read more: https://t.co/u2qZsQCZfa $FOX#TwentyfirstCenturyFox Twenty-First Century interested in Paramount stake: NY Post. Read more: https://t.co/3j7r7Z3naq $FOX#TwentyfirstCenturyFox Twenty-First Century interested in Paramount stake - NY Post. Read more: https://t.co/weMic0dSrf $FOXAnalyst sees movie theater stocks' rally pausing, downgrades shares $AMC $CNK $RGC $SNE $VIAB $FOXA $FOX $DIS ... https://t.co/B75EVr2vWdCan $syy $im $ko $lmt $fox $jci $pagp $int $chscp $aal become #Fortune50 ? https://t.co/SOm8rjvuBZ https://t.co/8IRlrR5VpF$FOX:

Brokers at Deutsche Bank rated Twenty-first Century Fox Inc Class …:

https://t.co/bQGtj4kOcxCowen Group Inc. Has $4,989,000 Stake in Twenty-First Century Fox Inc $FOX https://t.co/apn9WA0KaG$FOX:

Twenty-First Century Fox Inc (FOX) Raised to Hold at Zacks …:

https://t.co/sgfeB1wyrXTwenty-First Century Fox Inc $FOX Lifted to Hold at Zacks Investment Research https://t.co/YqaG6VRxqSTwenty-First Century Fox upgraded by Zacks Investment Research to hold. https://t.co/ZYUbOZ5APj $FOX #FOXTwenty-First Century Fox upgraded by Zacks Investment Research to hold. https://t.co/jqypdC43nA $FOX #FOX",2016-03-30,FOX,0
3,"Twenty-First Century Fox's outperform rating reiterated at RBC Capital. $37.00 PT. https://t.co/iizXwgJfpT $FOX #FOXTwenty-First Century Fox Inc $FOX Earns Outperform Rating from RBC Capital https://t.co/5Pob4P0ZnrTwenty-First Century Fox's outperform rating reiterated at RBC Capital. $37.00 PT. https://t.co/FB7PyVLy6B $FOX #FOX$FOX:

Will Twenty-First Century Fox, Inc (NASDAQ:FOX) beat earning …:

https://t.co/7mW2FUbUmA21st Century Interested In A stake In Viacom’s Paramount Studio
$FOX, $VIA, $DWA, $AMC
https://t.co/zVXDTmDzFX https://t.co/wEhMVCZJkb#TwentyfirstCenturyFox Twenty-First Century Fox Inc (A) Shares Bought by Sawtooth Asset Mana... Read more: https://t.co/YZ6xkfK3jg $FOX#TwentyfirstCenturyFox Fox Ends Film-Screening Practice. Read more: https://t.co/kQ5DM0dDWj $FOX#TwentyfirstCenturyFox Fox Ends Film-Screening Practice - WSJ. Read more: https://t.co/kVdNLpntlQ $FOXPremium Alerts Ranked #1 For Gains 2834% Last Week At https://t.co/ewcYkLb72h .. $ZU $ACRX $FOX",2016-03-31,FOX,1
4,"Distribs &amp; Exhibs Hold Line On Clearances Despite Fox’s Position Change $RGC $AMC $CNK $FOX $DIS $CMCSA $VIA $TWX https://t.co/C9EcZm3zQL#TwentyfirstCenturyFox Commonwealth of Pennsylvania Public School Empls Retrmt SYS Sells 1,9... Read more: https://t.co/juWIJldsJh $FOXRT @MomentBreakouts: Bouncing off support testing new highs 4n5 next resistance.
$ibb $amtd $vrtx $aeo $wetf $ziop $rcl $taho $fox $iei htt…Bouncing off support testing new highs 4n5 next resistance.
$ibb $amtd $vrtx $aeo $wetf $ziop $rcl $taho $fox $iei https://t.co/kRRY42HVX6This is what I #mean by #negative #trivials
…
@FOX ≈ $FOX «» #report #discuss #moveon «» #dontletyourdollarsbedreams https://t.co/jGB9E0nrpvRT @agrudadvisors: Twenty-First Century Fox gains 3.26% to $29.12 on Friday : Among top 10 gainers on S&amp;P500. $FOX #media #stocks #NASDAQRBC Capital Reiterates “Outperform” Rating for Twenty-First Century Fox Inc $FOX https://t.co/9lOC5GOmTMAnalysts’ Weekly Ratings Updates for Twenty-First Century Fox $FOX https://t.co/I5n6UooXNxFOX 29.12 21St Centry Fox B Cm $FOX added to my watch list. Right now with FOX I am watching the last price 29 https://t.co/CUjjJTMxJTAnalysts’ Weekly Ratings Updates for Twenty-First Century Fox $FOX https://t.co/q69maPirIyTwenty-First Century Fox Inc $FOX Raised to Hold at Zacks Investment Research https://t.co/H77d98lqj6Twenty-First Century Fox Inc $FOX Raised to Hold at Zacks Investment Research https://t.co/ol9jJj4VQyTwenty-First Century Fox gains 3.26% to $29.12 on Friday : Among top 10 gainers on S&amp;P500. $FOX #media #stocks #NASDAQ$FOX:

Company Shares of Twenty-First Century Fox (NASDAQ:FOX) Rally …:

https://t.co/Wq1uWGeLEB",2016-04-04,FOX,0
5,"$FOX:

Twenty-First Century Fox, Inc. (NASDAQ:FOX) added about 18.7 …:

https://t.co/XkKnk8hcmzRBC Capital Reaffirms Outperform Rating for Twenty-First Century Fox Inc $FOX https://t.co/fIeiMFtchr$CMCSA $FOX Blumenthal and Murphy Are Out in Left Field on Comcast/YES Negotiations  https://t.co/qTcOOg3FO3#TwentyfirstCenturyFox Twenty-First Century Fox Inc (A) Stake Lowered by Palladium Partners ... Read more: https://t.co/XQuUyCNLJS $FOX#TwentyfirstCenturyFox Deere &amp; Co. Sells 3,470 Shares of Twenty-First Century Fox Inc (A). Read more: https://t.co/xwXNyKcm9H $FOXWhat Disney's Expanded CEO Search Means for Bob Iger's Tenure $FOX https://t.co/Q4ropxbiIt https://t.co/T3L8AUicdTServices Sector Shareholder’s Alert: $DIS $FOX https://t.co/RanwBrAp6h$DIS $FOX:

Services Sector Investor’s Alert: The Walt Disney Company, (NYSE …:

https://t.co/Uv14q8NFDDTwenty-First Century Fox Inc $FOX Shares Sold by Palladium Partners LLC https://t.co/MiDhwuF9prTwenty-First Century Fox Inc $FOX Shares Sold by Palladium Partners LLC https://t.co/ujoJPrEc5F$FOX:

Shares of Twenty-First Century Fox (NASDAQ:FOX) Sees Large …:

https://t.co/AgCfCElcLTCYDY running, FLKS is just starting: https://t.co/lwSyWTxOEB $FOSL $FOX $FOXA $FOXF $FPA $FPE $FPF $FPI",2016-04-05,FOX,1
6,"#TwentyfirstCenturyFox Twenty-First Century Fox Inc Shares Sold by Comerica Bank. Read more: https://t.co/WEUfaeQZ39 $FOXTwenty-First Century Fox Inc $FOX Shares Sold by Comerica Bank https://t.co/TOJK2CdDhYDoes 1948 Consent Decree Limit Viacom's Search for Paramount Stakeholder? - CTFN https://t.co/xC3JYOm8EV $VIAB $FOX #mergers #antitrust$FOX #uptrend continuation detected around 11:00 AM, Apr 6 EDT; use 29.08, 28.83 as stop #bullish#TwentyfirstCenturyFox Century Capital Management LLC Invests $6,137,000 in Twenty-First Cen... Read more: https://t.co/yFkEifh5vG $FOX#21st Century Fox : FOX News Sunday with Chris Wallace to Present Exclusive In... https://t.co/u3MTj5sk2b $FOX#TwentyfirstCenturyFox Fort Washington Investment Advisors Inc. OH Raises Position in Twenty... Read more: https://t.co/fHWA3W6KUc $FOX$FOX Fox Still has Value Despite Share Going Up by Chris Lau https://t.co/vT3hzaS4se https://t.co/XmeBLN23pXCable ratings: CNN beats Fox in demo; 'Walking Dead' tails off https://t.co/NOOGPm5aOI $TWX, $FOX, $FOXA, $CMCSA, $SNI, $AMCXCable ratings: CNN beats Fox in demo; 'Walking Dead' tails off https://t.co/6VR9WVDkDP $TWX $FOX $FOXA $CMCSA",2016-04-06,FOX,0
7,"Cablevision installs Hulu as dedicated set-top channel $CMCSA $DIS $FOX $FOXA $CVC https://t.co/HcO5Cvvh0UTwenty-First Century Fox initiated by RBC Capital at outperform. https://t.co/2ctGAZp3OB $FOX #FOXTwenty-First Century Fox Inc $FOX Now Covered by RBC Capital https://t.co/kDGb1aDmRaTwenty-First Century Fox initiated by RBC Capital at outperform. https://t.co/CMBopbOPKr $FOX #FOX$FOX:

Twenty-First Century Fox, Inc. (NASDAQ:FOX) Stock Rating in Focus:

https://t.co/pEFQk1CgI8#TwentyfirstCenturyFox Twenty-First Century Fox Inc (A) Shares Bought by Brown Advisory Inc. Read more: https://t.co/IS1WcOOtQe $FOX$FOX $FOXA:

‘American Idol’ Prepares to Sing Final Tune:

https://t.co/r9xLqHmb6nDoes it not speak volumes about how far #AmericanIdol has fallen that $FOX isn't even bothering having the series finale during sweeps?RT MarketCurrents: Cablevision installs Hulu as dedicated set-top channel https://t.co/mpGkIiRMxe $CMCSA $DIS $FOX $FOXA,www.blackboxphd.c…Cablevision installs Hulu as dedicated set-top channel https://t.co/apY4JH9TQZ $CMCSA $DIS $FOX $FOXACablevision installs Hulu as dedicated set-top channel https://t.co/rJ4iZVsJCk $CMCSA $DIS $FOX $FOXACablevision installs Hulu as dedicated set-top channel https://t.co/OrPtBnQ8gT $CMCSA $DIS $FOX $FOXA#TwentyfirstCenturyFox Twenty-First Century Fox Inc (A) Stake Decreased by Principal Financi... Read more: https://t.co/i134xwUBaw $FOXFOX 29.36 21St Centry Fox B Cm $FOX added to my watch list. Right now with FOX I am watching the last price 29 https://t.co/JlVQ90qpNv$FOX:

Early Check For Twenty-First Century Fox, Inc. (NASDAQ:FOX):

https://t.co/1n1xeMT571#TwentyfirstCenturyFox Twenty-First Century Fox Inc (A) Shares Bought by Bragg Financial Adv... Read more: https://t.co/GiYvV08DOI $FOX#TwentyfirstCenturyFox Brokerages Set Twenty-First Century Fox Inc (NASDAQ:A) Target Price a... Read more: https://t.co/MbT2IDqnr8 $FOX$FOX:

Key Stocks of the Day: Twenty-First Century Fox, Inc. (NASDAQ:FOX):

https://t.co/0YhuDh2Jxj",2016-04-07,FOX,0
8,Ranks #1 with over 80% in alert gains today. Click here https://t.co/ewcYkLb72h .. $ZU $ACRX $FOXIs Netflix Next For Disney? https://t.co/DSUAsTcIfY $ADT $AF $APO $CBS $CBS.A $CP $CPGX $DIA $DMTGY $EA $FOX $FOXA $GCI $GOOG $GOOGL $HOTIs Netflix Next For Disney? https://t.co/GUNfamnvei $ADT $AF $APO $CBS $CBS.A $CP $CPGX $DIA $DMTGY $EA $FOX $FOXA $GCI $GOOG $GOOGL $HOTRT @ChinaInvest: RT SeekingAlpha: Is Netflix Next For Disney? https://t.co/rrfGH3NneA $ADT $AF $APO $CBS $CBS.A $CP $CPGX $DIA $DMTGY $EA $…RT SeekingAlpha: Is Netflix Next For Disney? https://t.co/rrfGH3NneA $ADT $AF $APO $CBS $CBS.A $CP $CPGX $DIA $DMTGY $EA $FOX $FOXA $GCI $…Is Netflix Next For Disney? https://t.co/Nk6iNLSnRr $ADT $AF $APO $CBS $CBS.A $CP $CPGX $DIA $DMTGY $EA $FOX $FOXA $GCI $GOOG $GOOGL $HOTIs Netflix Next For Disney? https://t.co/cRWVkpWYEY $ADT $AF $APO $CBS $CBS.A $CP $CPGX $DIA $DMTGY $EA $FOX $FOXA $GCI $GOOG $GOOGL $HOTRT @theflynews: 'The Boss' narrowly edges out 'Batman v Superman' at box office $CMCSA $CMCSK $TWX $DIS $FOX $FOXA $LGF $SNE $... https://t…RT @theflynews: 'The Boss' narrowly edges out 'Batman v Superman' at box office $CMCSA $CMCSK $TWX $DIS $FOX $FOXA $LGF $SNE $... https://t…RT @theflynews: 'The Boss' narrowly edges out 'Batman v Superman' at box office $CMCSA $CMCSK $TWX $DIS $FOX $FOXA $LGF $SNE $... https://t…,2016-04-11,FOX,1
9,"portfolio update: $AA, $LNG, $FOX, $AR, $OLN, $FOXA, $AER, $PYPL, $LOCK, $RUN, $PXD, $VRTV, $BXE, $VRX https://t.co/Fw4OxTwWUDZacks Investment Research Downgrades Twenty-First Century Fox Inc $FOX to Sell https://t.co/X8Mmwmjm0qIs Netflix Next For Disney? Part I https://t.co/AUkodpltSd $ADT $AF $APO $CBS $CBS.A $CP $CPGX $DIA $DMTGY $EA $FOX $FOXA $GCI $GOOGIs Netflix Next For Disney? https://t.co/GPNNIIy4Yb $ADT $AF $APO $CBS $CBS.A $CP $CPGX $DIA $DMTGY $EA $FOX $FOXA $GCI $GOOG $GOOGL $HOTIs Netflix Next For Disney? https://t.co/cIBKyn9QhC $ADT $AF $APO $CBS $CBS.A $CP $CPGX $DIA $DMTGY $EA $FOX $FOXA $GCI $GOOG $GOOGL $HOT$FOX $ALK:

Stock’s Changes in Focus: Costco Wholesale Corporation (NASDAQ …:

https://t.co/Kpkls9jr9Z",2016-04-12,FOX,1
