,Tweet content,date,symbol,increase
0,"$KBH $EMC $V $AMZN $FE $IILG $LLTC $XPO

https://t.co/B6Ruirf3SCLinear Technology Co. $LLTC Stake Cut by Boston Partners https://t.co/RCmdleAfElLinear Technology Co. $LLTC Stake Cut by Boston Partners https://t.co/okQMyWgdtILinear Technology Corp Valuation - January 2016 Update $LLTC https://t.co/ra44phuuSILinear Technology Co. $LLTC Stock Rating Lowered by Zacks Investment Research https://t.co/QhIQZy8h8QCincinnati Financial Corp Has $34,791,000 Stake in Linear Technology Co. $LLTC https://t.co/Es3uKkU61mCincinnati Casualty Co. Holds Position in Linear Technology Co. $LLTC https://t.co/QyDMy9j9vy$LLTC:

Linear Technology Co. (LLTC) Stake Maintained by Cincinnati …:

https://t.co/vZUxjrVafVLinear Technology Co. $LLTC Stake Maintained by Cincinnati Insurance Co. https://t.co/zOIvW0geZJLinear Technology Co. $LLTC Stake Maintained by Cincinnati Insurance Co. https://t.co/EEJi7r7XPQ",2016-03-28,LLTC,1
1,"RT @raymond10mm: $WY $FE $STZ $BK $AON $L $LB $CMG $DD $VLO $ADP $HCA $ZTS $RAI $MS $LLTC $CCI $TXN $GILD $DOW $CF Beautiful #RALLY! https:…$LLTC:

Linear Technology Corporation (NASDAQ:LLTC): Analysts Take on …:

https://t.co/JF0O99INisOur Picks Are Seeing Incredible Gains! Get Exclusive Early Access To Our New Alerts: https://t.co/dWbN7JMySK $SPLS $LLTC $AVGOThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sytfZ $SPLS $LLTC $AVGO$WY $FE $STZ $BK $AON $L $LB $CMG $DD $VLO $ADP $HCA $ZTS $RAI $MS $LLTC $CCI $TXN $GILD $DOW $CF Beautiful #RALLY! https://t.co/YkLXnYdQcf#Linear Technology : 20V, 20A Monolithic Synchronous Step-Down Regulator with ... https://t.co/oDa96l3Tr8 $LLTC$LLTC:

Linear Technology Corporation (NASDAQ:LLTC) Picked As A …:

https://t.co/132dksVzoROver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $SPLS $LLTC $AVGORT SeekingAlpha: Who's Next: In Search Of The Next Dividend Champions https://t.co/hVUZteYTn4 $ECL $GD $LLTC $MGRC $UMBF $WABC $WTRWho's Next: In Search Of The Next Dividend Champions https://t.co/33yQxKEcJH $ECL $GD $LLTC $MGRC $UMBF $WABC $WTRWho's Next: In Search Of The Next Dividend Champions https://t.co/nmaKLcN9NK $ECL $GD $LLTC $MGRC $UMBF $WABC $WTRWho's Next: In Search Of The Next Dividend Champions https://t.co/PLCFKOwo7L $ECL $GD $LLTC $MGRC $UMBF $WABC $WTRSell-signal detected for 7 stocks: $GILD $TWX $EQR $PEP $BXP $LLTC $PX$LLTC Since last ER, stock gained 11%. Reporting Earnings on 4/19 After Close (Confirmed). https://t.co/ysCuwFw9qk",2016-03-29,LLTC,1
2,"Nasdaq100 #Stocks Trend $CHKP $DLTR $AMAT $AVGO $AAPL $TXN $CTSH $CSCO $NVDA $YHOO $HSIC $INTU $LLTC $FISV  @ https://t.co/YdSIjFJqHfNasdaq100 #Stocks Trend $CHKP $AMAT $DLTR $AAPL $CTSH $AVGO $TXN $CSCO $NVDA $YHOO $HSIC $INTU $FISV $LLTC  @ https://t.co/YdSIjFJqHfJBEM is bak 2 sendng out comprehensive DD.Goin bak 2 his roots:  https://t.co/hBrHFNeVvm $LLTC $LLY $LM $LMAT $LMBS $LMCA $LMCK $LMIANasdaq100 #Stocks Trend $AMAT $TXN $CTSH $CHKP $AAPL $CSCO $DLTR $YHOO $NVDA $MSFT $LRCX $LLTC $KLAC $HSIC  @ https://t.co/YdSIjFJqHfRT @TomAspray: $ELLI Mon Viper Hot Stocks buy acting well also long $SBUX $MPWR $LLTC $CA -new buys this AM https://t.co/KNSmcYc61M https:/…$ELLI Mon Viper Hot Stocks buy acting well also long $SBUX $MPWR $LLTC $CA -new buys this AM https://t.co/KNSmcYc61M https://t.co/2HJCpfXdteSawtooth Asset Management Inc. Acquires 28,361 Shares of Linear Technology Co. $LLTC https://t.co/yMEXeWy6mXOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $SPLS $LLTC $AVGO",2016-03-30,LLTC,0
3,"$WY $FE $STZ $BK $AON $L $LB $CMG $DD $VLO $ADP $HCA $ZTS $RAI $MS $LLTC $CCI $TXN Worry about market volatility? https://t.co/O82aLuX9MSIchimoku Green https://t.co/BrmcCy9sdj  $EWT $CVS $CAG $RIO $BTG $SABR $LLTC $AKAM $EWC $MSI $ANF $APH $GLNG $FNSR $PVH $ELLI $EATVanguard Group Inc. Increases Position in Linear Technology Co. $LLTC https://t.co/4bkXnWaPYwLinear Technology Co. $LLTC Position Maintained by New Mexico Educational Retirement Board https://t.co/x1gt50ZzxILinear Technology Co. $LLTC Position Maintained by New Mexico Educational Retirement Board https://t.co/pEybppBy1sYesterday We Made $94,000 In Just One Trade More Info Here https://t.co/ZMvOsK1CVa .. $SPLS $LLTC $AVGOThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sgRRp $SPLS $LLTC $AVGOOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8QMnm $SPLS $LLTC $AVGOPremium Alerts Ranked #1 For Gains 2834% Last Week At https://t.co/ewcYkKTvDH .. $TCCO $CKSW $LLTCThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sytfZ $SPLS $LLTC $AVGOOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $SPLS $LLTC $AVGO",2016-03-31,LLTC,1
4,"I think they generally are at a premium. Cleanest GAAP numbers I looked at was $LLTC and it was delightful. https://t.co/cqcTrxsydnSchroder Investment Management Group Cuts Position in #LinearTechnology Co. (). Read more: https://t.co/BnGdjG2wcX $LLTC#LinearTechnology Co. Position Boosted by MUFG Americas Holdings Corp. Read more: https://t.co/2MXcTJyQWL $LLTCSchroder Investment Management Group Cuts Position in Linear Technology Co. $LLTC https://t.co/O7F23sCqNUSchroder Investment Management Group Cuts Position in Linear Technology Co. $LLTC https://t.co/1Lz6z9VHbbLinear Technology Co. $LLTC Position Boosted by MUFG Americas Holdings Corp https://t.co/Z3zEan3qekWilkins Investment Counsel Inc. Has $5,877,000 Position in Linear Technology Co. $LLTC https://t.co/XK8l6a8rBaWilkins Investment Counsel Inc. Has $5,877,000 Position in Linear Technology Co. $LLTC https://t.co/pNs9iV6DUgWilkins Investment Counsel Inc. Has $5,877,000 Position in Linear Technology Co. $LLTC https://t.co/hQcHkfzo0Y$LLTC:

Linear Technology Corporation (NASDAQ:LLTC) Shorted Shares …:

https://t.co/tkDWL9kQHw",2016-04-04,LLTC,1
5,"RT @WallStJesus: $LLTC EARNINGS 4/19:

 3474 MAY $46 CALLS 90% ASK https://t.co/QONdaaAiHqRT @WallStJesus: $LLTC EARNINGS 4/19:

 3474 MAY $46 CALLS 90% ASK https://t.co/QONdaaAiHq$LLTC EARNINGS 4/19:

 3474 MAY $46 CALLS 90% ASK https://t.co/QONdaaAiHqNasdaq100 #Stocks Performance $TSLA $VRTX $EBAY $GILD $CELG $BIIB $ALXN $NFLX $GRMN $LLTC $CHRW $ADP $NTAP  more@ https://t.co/YdSIjFJqHfNasdaq100 #Stocks Performance $TSLA $VRTX $GILD $EBAY $CELG $ALXN $NFLX $BIIB $NTAP $LLTC $FAST $REGN $ADP  more@ https://t.co/YdSIjFJqHfZacks Investment Research Downgrades Linear Technology Co. $LLTC to Sell https://t.co/oR9HDy2Y1GRT @MomentBreakouts: Afternoon spiker my favorite
$fhn $tfm $edz $lnkd $now $cost $tk $lho $lltc $fran https://t.co/WU4J15ebkW$LLTC:

Linear Technology Co. (NASDAQ:LLTC) Given Consensus …:

https://t.co/5PBZ32myhTLinear Technology Co. $LLTC Given Consensus Recommendation of “Hold” by Analysts https://t.co/NQrBz0DT4cAfternoon spiker my favorite
$fhn $tfm $edz $lnkd $now $cost $tk $lho $lltc $fran https://t.co/WU4J15ebkW$LLTC:

Linear Technology Corporation (NASDAQ:LLTC): $1.97 Is The …:

https://t.co/q6DFIRPIYhGAM Holding AG Increases Position in Linear Technology Co. $LLTC https://t.co/T29BvnI2awGAM Holding AG Increases Position in Linear Technology Co. $LLTC https://t.co/A4trangEbp$WY $FE $STZ $BK $AON $L $LB $CMG $DD $VLO $ADP $HCA $ZTS $RAI $MS $LLTC $CCI $TXN $GILD $DOW $CF #markets red today https://t.co/ByYhQgLQorNasdaq100 #Stocks Performance $VRTX $GILD $INCY $REGN $BIIB $TXN $LLTC $ALXN $EBAY $CELG $MNST $NFLX $FB  more@ https://t.co/YdSIjFJqHf$TXN $LLTC CATCH BULL EARNINGS BETS ..Morgan Stanley Sells 3,875,624 Shares of #LinearTechnology Co. (). Read more: https://t.co/amhX1nlMMA $LLTCMorgan Stanley Sells 3,875,624 Shares of Linear Technology Co. $LLTC https://t.co/cKkMY2iG3F$LLTC May 46 Call buyers +3k for $0.95Morgan Stanley Sells 3,875,624 Shares of Linear Technology Co. $LLTC https://t.co/L3JdNq9Ao2#LinearTechnology Co. Stake Lowered by Pensionfund Sabic. Read more: https://t.co/4qJQTKfysP $LLTC$LLTC:

Ruling stocks in today’s market: Linear Technology Corporation …:

https://t.co/ZbiEFNDCKaPensionfund Sabic Lowers Stake in Linear Technology Co. $LLTC https://t.co/gWfFsyi8Om$LLTC:

How did Morgan Stanley rate Linear Technology Corp?:

https://t.co/cwNRTF38Zh",2016-04-05,LLTC,1
6,"$LLTC:

Key Stocks of the Day: Linear Technology Corporation (NASDAQ …:

https://t.co/1tdReCEz2u#LinearTechnology : 60V, Synchronous 4-Switch Buck-Boost LED Driver with Spread Spectrum. Read more: https://t.co/wVZKNkvKwf $LLTCMizuho Trust &amp; Banking Co. Ltd. Buys 1,848 Shares of #LinearTechnology Co. (). Read more: https://t.co/t65q70oTXe $LLTCMizuho Trust &amp; Banking Co. Ltd. Buys 1,848 Shares of Linear Technology Co. $LLTC https://t.co/1XauxX3gQ7Mizuho Trust &amp; Banking Co. Ltd. Buys 1,848 Shares of Linear Technology Co. $LLTC https://t.co/RffQpRe0TB$VG $LLTC $TSL:

Three Stocks to Watch: Vonage Holdings Corp. (NYSE:VG) , Linear …:

https://t.co/L6RsKtS7Tz#LinearTechnology Co. Downgraded by Zacks Investment Research to ""Sell"". Read more: https://t.co/ZM1LtD0Asz $LLTCLinear Technology Co. $LLTC Shares Sold by Agran Libbie https://t.co/PUMdQOJSg1Pensionfund DSM Netherlands Sells 5,000 Shares of #LinearTechnology Co. (). Read more: https://t.co/MuutcmcSUF $LLTCGAM Holding AG Increases Position in #LinearTechnology Co. (). Read more: https://t.co/mZ8zYRd0Fs $LLTC#LinearTechnology Co. Given Consensus Recommendation of ""Hold"" by Analysts. Read more: https://t.co/MAMFGR2xFt $LLTC#LinearTechnology Co. Cut to Sell at Zacks Investment Research. Read more: https://t.co/fS8abGsYrz $LLTCZacks Investment Research Downgrades #LinearTechnology Co. to Sell. Read more: https://t.co/MrMj9DsEwo $LLTC$LLTC ER on 4/19 After Close. SP were DOWN 15 times out of last 25 qtrs (60%) in ER. https://t.co/0iDEx5Ixd4$LLTC:

Were Analysts Bullish Linear Technology Corporation (NASDAQ …:

https://t.co/TPvgvTkBfv",2016-04-06,LLTC,0
7,"Brown Advisory Inc. Has $1,107,000 Stake in #LinearTechnology Co. (). Read more: https://t.co/Al5nH8CwbT $LLTCBrown Advisory Inc. Has $1,107,000 Stake in Linear Technology Co. $LLTC https://t.co/2Z7gCdnSIvGulf International Bank UK Ltd Increases Position in #LinearTechnology Co. (). Read more: https://t.co/InU7s6btVM $LLTC#Linear Technology : 60V, 4A Synchronous Step-Down Regulator for Inverting Out... https://t.co/T0YjcYDKql $LLTCGulf International Bank UK Ltd Increases Position in Linear Technology Co. $LLTC https://t.co/nH4xm6PRe5$CRM $LLTC:

Investors Traded Stocks: https://t.co/DKIv6w5aip (NYSE:CRM) , Linear …:

https://t.co/yP3N9Nr3FSCYDY running, FLKS is just starting: https://t.co/lwSyWTxOEB $LLTC $LLY $LM $LMAT $LMBS $LMCA $LMCK $LMIA",2016-04-07,LLTC,1
8,"#Linear Technology : Robust ±60V RS485 Transceivers Fortify PROFIBUS-DP Networks https://t.co/BWXAFldEC1 $LLTCMeet the 4 Newest Dividend Aristocrats
$DIVIDENDARISTOCRATS $COL $GD $PX $LLTC $ROP https://t.co/Soye2arts7 https://t.co/AnZHaKe0PX$LLTC:

Analysis and Linear Technology Corporation (LLTC) Earnings Review:

https://t.co/9Z73Yu7ngmLinear Technology Co. $LLTC Downgraded to “Sell” at Zacks Investment Research https://t.co/EFLUrh8Bbv",2016-04-11,LLTC,1
9,"Parabolic SAR Sell https://t.co/bQygEQchAg $SPLK $AMED $IMPV $FPRX $CSGS $LLTC $CYNO $APOG $XSD $FTC$LLTC:

Linear Technology Corporation (NASDAQ:LLTC) Check on Analyst …:

https://t.co/IIZwEJLIgCDiamond Hill Capital Management Inc. Acquires 13,441 Shares of #LinearTechnology Co. (). Read more: https://t.co/jZ8pF0JKcJ $LLTC$LLTC:

Earnings Reaction History: Linear Technology Corporation …:

https://t.co/BR81bNmFZgDiamond Hill Capital Management Inc. Acquires 13,441 Shares of Linear Technology Co. $LLTC https://t.co/bWRr9jYQOARanks #1 with over 80% in alert gains today. Click here https://t.co/ewcYkLb72h .. $TCCO $CKSW $LLTC",2016-04-12,LLTC,1
