,Tweet content,date,symbol,increase
0,"$XLNX:

Xilinx, Inc. (NASDAQ:XLNX): Analysts Take on Earnings:

https://t.co/QZyQcgIONN50 Day Resistance https://t.co/rfFWlpSGUu $STAR $ARRY $XLNX $YELP $TGNA $CIE $XBI $DK $HOV $HBI $SBGI $QGEN $SPWH $MTRX $PRAH $SOL $RTKUnusual option activity alert: $CHTR 15x average daily volume, $VRX 11x, $SPLS 6x, $XLNX 6x, $MDLZ 6x, $GME 3x, $AGN 3xRT @OpenOutcrier: RECAP 3/28 Unusual Calls (3/3):
$XLNX Jun 50 C
$SGMS Jun 12 C
$MGPI May 25 C
$JBLU Apr 22 C
$CHTR Jan 250 CRT @OpenOutcrier: RECAP 3/28 Unusual Calls (3/3):
$XLNX Jun 50 C
$SGMS Jun 12 C
$MGPI May 25 C
$JBLU Apr 22 C
$CHTR Jan 250 CRECAP 3/28 Puts:
$XLNX May 47 P
$OHRP Oct 2.5 P
$PYPL Apr 35.5 P
$MU May 10 P
$GILD Apr 80 P
$XLY Sep 65 P
$FCX Jan-18 5 P
$SWHC Apr 24 PRECAP 3/28 Unusual Calls (3/3):
$XLNX Jun 50 C
$SGMS Jun 12 C
$MGPI May 25 C
$JBLU Apr 22 C
$CHTR Jan 250 CRT @CBOE: #optionstrading: consumer spending data disappoints, bulls in $FB &amp; $XLNX puts @jonnajarian https://t.co/VXY1woTbNb https://t.co/…RT @CBOE consumer spending data disappoints, bulls in $FB Bears in $XLNX puts @jonnajarian https://t.co/zPXg44yDLeRT @CBOE: #optionstrading: consumer spending data disappoints, bulls in $FB &amp; $XLNX puts @jonnajarian https://t.co/VXY1woTbNb https://t.co/…#optionstrading: consumer spending data disappoints, bulls in $FB &amp; $XLNX puts @jonnajarian https://t.co/VXY1woTbNb https://t.co/J9LW90p1mIS&amp;P Equity Research Boosts Xilinx, Inc. $XLNX Price Target to $54.00 https://t.co/OkO93AB4MaCall/Put Highest % volume changes:  Calls: $XLNX, $JUNO, $DATA, $NTAP, $ALDR.  Puts: $PAYX, $FDC, $APOL, $DHR, $HLT.Notable Monday Option Activity: $XLNX  $DIS  $AAPL #stockoptions https://t.co/XC4xuOKHW5Popular: $TSLA, $PJT, $FFIV, $EBAY, $COH, $SNDK, $NSC, $EAT, $SYK, $STJ, $GD, $FIVN, $BRK.A, $JEC, $CMCSA, $XLNX, $KATE, $MAXilinx Inc Boost Price Target by S&amp;P Equity Research (Ranked 68th) to Strong-Buy with 54 PT $XLNX #XLNX https://t.co/v7SULjBtWlXilinx's PT raised by S &amp;P Equity Research to $54.00. strong-buy rating. https://t.co/0rkJW1QS9D $XLNX #XLNXXilinx's PT raised by S &amp;P Equity Research to $54.00. strong-buy rating. https://t.co/aYxwE140uF $XLNX #XLNXHot Options Report For Midday March 28th - $FB, $PBR, $DIS, $AAPL, $BAC, $XLNX, $P, $SUNE   -   https://t.co/I2xuByVX6tSome large #options transactions: $CMCSA $DIS $FCX $P $SGMS $VRX $XLNX via https://t.co/nkiQsD7AbX https://t.co/Mwb0f7mo07RT @WallStJesus: Flow is so dead here, since 10:30 this morning. CALL SWEEPERS: $FB $NFLX $DATA $BIDU -- PUT BUYERS: $LNKD $XLNX $MU#Options traders trading premium: $ACAD $CMCSA $DIS $FCX $P $VRX $XLNX via https://t.co/YJwEy5UhYI https://t.co/Ib7NMYlA0wRT @WallStJesus: Flow is so dead here, since 10:30 this morning. CALL SWEEPERS: $FB $NFLX $DATA $BIDU -- PUT BUYERS: $LNKD $XLNX $MU$XLNX:

Xilinx, Inc. (NASDAQ:XLNX) indicated as ‘Strong Buy’ At S&amp;P …:

https://t.co/KNQdMyBLgJRT @WallStJesus: Flow is so dead here, since 10:30 this morning. CALL SWEEPERS: $FB $NFLX $DATA $BIDU -- PUT BUYERS: $LNKD $XLNX $MUFlow is so dead here, since 10:30 this morning. CALL SWEEPERS: $FB $NFLX $DATA $BIDU -- PUT BUYERS: $LNKD $XLNX $MUleahanne: Volume Alert - XLNX 47.44 Xilinx Inc $XLNX Hit a https://t.co/46hm3bptAJNasdaq100 #Stocks Trend $FB $SPLS $NVDA $EXPD $CMCSA $MAR $XLNX $KLAC $SRCL $VRSK $ADI $VIP $FOXA $INTU $TXN  @ https://t.co/YdSIjFJqHfVolume Alert - XLNX 47.44 Xilinx Inc $XLNX Hit a high today of 47.50 Closing the day 10:30 at 47.44 +0.42 +0.8 https://t.co/N2MrtZneJv$XLNX Jun 50 Call Sellers -9k for $1.15RT @OptionAlert: Unusually heavy option volume on today's open include $XLNX, $PAYX, $PVH, $GME, and $ALXN.Early action #options: $ACAD $AKRX $DIS $FDC $P $SUNE $XLNX via https://t.co/1BZ4feOGg1 https://t.co/t40Oa7F6LLXilinx, Inc. $XLNX Shares Bought by Vanguard Group Inc. https://t.co/MvoaMTa5AfXilinx, Inc. $XLNX Shares Bought by Vanguard Group Inc. https://t.co/iz0O3xk6sZRT @OptionAlert: Unusually heavy option volume on today's open include $XLNX, $PAYX, $PVH, $GME, and $ALXN.Unusually heavy option volume on today's open include $XLNX, $PAYX, $PVH, $GME, and $ALXN.$XLNX May 47 Put Buyer +5k for $2.15",2016-03-28,XLNX,1
1,"$XLNX high open interest range is 49.50 to 53.00 for option expiration 04/01/2016. bullish https://t.co/weXEkoCW5k https://t.co/93qFgLX3Wv$XLNX:US Xilinx, Inc. (XLNX) Given New $54.00 Price Target at S&amp;P Equity Research #XILINX INC  https://t.co/yoO88ivZyZ #NASDAQ$XLNX OI for maturity 04/01/2016. 49.50 Highest put. 53.00 Highest call. bullish https://t.co/weXEkoCW5k https://t.co/2Ej5BBn23C$XLNX Max Pain is 47.50 for maturity 04/01/2016.  Price = 47.04. bullish https://t.co/rl2KXxWkIc50 Day Resistance https://t.co/BtAe6m4Cr9 $GPRO $XLNX $HRS $RL $WPZ $YELP $ATRC $VRNT $KTWO $OTIC $MRIN $CPSI $CARB $NTRI $UUUU $FSC $SGMOOur Picks Are Seeing Incredible Gains! Get Exclusive Early Access To Our New Alerts: https://t.co/dWbN7JMySK $MU $XLNX $CHRWThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sytfZ $MU $XLNX $CHRWSei Investments Co. Has $3,000,000 Stake in Xilinx, Inc. $XLNX https://t.co/vFkWAUTLzvSei Investments Co. Has $3,000,000 Stake in Xilinx, Inc. $XLNX https://t.co/gupH9yaP8nXilinx, Inc. $XLNX Shares Bought by OppenheimerFunds Inc. https://t.co/ubbk9DqtxjOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $MU $XLNX $CHRW$XLNX:US Xilinx, Inc. (XLNX) Given New $54.00 Price Target at S&amp;P Equity Research #XILINX INC  https://t.co/7zQAQA8on9 #NASDAQUnusual call buying: $CHTR 7x average volume, $XLNX 7x, $NUE 7x, $SPLS 6x, $MDLZ 5x, $GIS 5x, $GME 5x, $HOT 3xUnusual Put Activity https://t.co/FzNQtJ1Lh8 …  $PAYX $GE $NQ $XLP $XLNX $SU $QIHU $BY $EPD $NVDA $AET $VZ $XBI $RK $LINE $SWKS $FIT $WFCXilinx, Inc. $XLNX Given New $54.00 Price Target at S&amp;P Equity Research https://t.co/o44vkytgnT",2016-03-29,XLNX,1
2,"For 8ema cross 21ema stocks 
$UNG
$LULU
$RJETQ
$TRIP
$XLNX
$CSRA
$GRUB
$SCI
$NBIX
Nice crossNasdaq100 #Stocks Performance $CHKP $ATVI $MAT $DLTR $AMAT $AVGO $SWKS $AAPL $TXN $TRIP $COST $CTSH $XLNX  more@ https://t.co/YdSIjFJqHfBullish scans for tomorrow biotech's  $JAZZ &amp; $RGEN plus $CRM $AMAT $XLNX &amp; $RHT we'll discuss entries in the AM plus financials $KRE &amp; $FISZacks Investment Research Lowers #Xilinx, Inc. to Sell. Read more: https://t.co/O9dUHjvTtW $XLNX#Xilinx, Inc. Cut to ""Sell"" at Zacks Investment Research. Read more: https://t.co/MiXLx9cdJd $XLNX$XLNX 47 Puts BUYING Activity expiring on 20th May, Vol 735Zacks Investment Research Lowers #Xilinx, Inc. to Sell. Read more: https://t.co/gGUO9pv0Be $XLNXZacks Investment Research Lowers Xilinx, Inc. $XLNX to Sell https://t.co/hGiOlJj1qHZacks Investment Research Lowers Xilinx, Inc. $XLNX to Sell https://t.co/zVgnzypAIZXilinx downgraded by Zacks Investment Research to sell. https://t.co/vR73NXAqAC $XLNX #XLNX$XLNX received a new alert. Find out why at https://t.co/nZwqReM0tj #stocks #daytrading #trading #mkt  #NYSE #NASDAQ #markets 383RT @RatingsNetwork: Xilinx downgraded by Zacks Investment Research to sell. https://t.co/5tOzmstZJA $XLNX #XLNXXilinx downgraded by Zacks Investment Research to sell. https://t.co/5tOzmstZJA $XLNX #XLNXNew Mexico Educational Retirement Board Has $1,298,000 Stake in Xilinx, Inc. $XLNX https://t.co/Cb9vnt24TmNew Mexico Educational Retirement Board Has $1,298,000 Stake in Xilinx, Inc. $XLNX https://t.co/dbcj9ufmcl$XLNX 55 Calls BUYING Activity expiring on 17th Jun, Vol 1035$XLNX:US S&amp;P Equity Research Increases Xilinx, Inc. (XLNX) Price Target to $54.00 #XILINX INC  https://t.co/B5h3e0i2Ji #NASDAQJBEM is bak 2 sendng out comprehensive DD.Goin bak 2 his roots:  https://t.co/hBrHFNeVvm $XLK $XLNX $XLP $XLRE $XLRN $XLU $XLV $XLY$XLNX:

New Insider Transaction on XLNX by Chief Financial Officer:

https://t.co/rWu0eNbvNJInsider Transactions on 3/29/2016
https://t.co/s9HBPKu8yC
$CRVS $GOOG $GOOGL $ORCL $XLNXJon Olson A Chief Financial Officer Sells $2,394,524 Worth of $XLNX Xilinx, Inc. - #Form4 #InsiderTrading - https://t.co/BKgNGJQvGgXilinx, Inc. $XLNX CFO Jon A. Olson Sells 110,000 Shares of Stock https://t.co/QVmuESnaxOS&amp;P Equity Research Increases Xilinx, Inc. $XLNX Price Target to $54.00 https://t.co/e3K7HPMFUgS&amp;P Equity Research Increases Xilinx, Inc. $XLNX Price Target to $54.00 https://t.co/oPZBJ72jnUS&amp;P Equity Research Increases Xilinx, Inc. $XLNX Price Target to $54.00 https://t.co/wIoXPOMJM9Over 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $MU $XLNX $CHRW#Xilinx, Inc. CFO Sells $5,187,600.00 in Stock. Read more: https://t.co/xlZtMIhXGm $XLNXXilinx, Inc. $XLNX CFO Sells $5,187,600.00 in Stock https://t.co/hkW5yTF5c7$XLNX New SEC Document(s) for Xilinx, Inc.
From our Stock News Alerts App$XLNX:

Jefferies &amp; Co rated Xilinx Inc (NASDAQ:XLNX) to Target Up:

https://t.co/WW7m3DyW6g",2016-03-30,XLNX,0
3,"$XLNX:

Average Rating Watch Xilinx, Inc. (NASDAQ:XLNX):

https://t.co/fUw6AvsmWrRT @SpeedyCalls: $XLNX 45 Puts SELLING Activity expiring on 16th Sep, Vol 5100$XLNX 45 Puts SELLING Activity expiring on 16th Sep, Vol 5100#Xilinx, Inc. Receives Consensus Rating of ""Hold"" from Brokerages. Read more: https://t.co/Om2DY76Jxp $XLNXXilinx, Inc. $XLNX Receives Consensus Rating of “Hold” from Brokerages https://t.co/RNKpeOGFCy$XLNX:

Xilinx, Inc. (NASDAQ:XLNX) Receives Consensus Rating of “Hold …:

https://t.co/5ozKa8c9om$XLNX:

Xilinx, Inc. (NASDAQ:XLNX) 52-week High At $50.72:

https://t.co/HvPLbKw6ojRT @RatingsNetwork: Xilinx downgraded by Zacks Investment Research to sell. https://t.co/5tOzmstZJA $XLNX #XLNXYesterday We Made $94,000 In Just One Trade More Info Here https://t.co/ZMvOsK1CVa .. $MU $XLNX $CHRWJon A. Olson Sells 110,000 Shares of #Xilinx, Inc. Stock. Read more: https://t.co/GVBKKW98NL $XLNX#Xilinx : Combined Synopsis/Solicitation - Xilinx. Read more: https://t.co/fV05t8NEbc $XLNX#Xilinx : Combine Solicitation - Xilinx. Read more: https://t.co/hQHGgszvy7 $XLNXS&amp;P Equity Research Raises Xilinx, Inc. $XLNX Price Target to $54.00 https://t.co/XapUw8BQVuThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sgRRp $MU $XLNX $CHRWOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8QMnm $MU $XLNX $CHRWXilinx, Inc. $XLNX Lowered to “Sell” at Zacks Investment Research https://t.co/gbVXqMPD4hXilinx, Inc. $XLNX Lowered to “Sell” at Zacks Investment Research https://t.co/PTr4yYGAEmPremium Alerts Ranked #1 For Gains 2834% Last Week At https://t.co/ewcYkLb72h .. $ENTR $OCC $XLNXThree Penny Stock Picks More Than QUADRUPLED In Value! More Big Things On The Way: https://t.co/fctN9sytfZ $MU $XLNX $CHRWOver 1,466% Gains On Our Top Stock Picks Lately! See Our Big New Pick Early: https://t.co/4FeNl8zbvO $MU $XLNX $CHRW",2016-03-31,XLNX,1
4,"$XLNX:US Mizuho Trust &amp; Banking Co. Ltd. Has $18,331,000 Stake in Xilinx, Inc. (XLNX) #XILINX INC  https://t.co/KhQbJnWqZT #SP500CYDY running, FLKS is just starting: https://t.co/lwSyWTxOEB $XLK $XLNX $XLP $XLRE $XLRN $XLU $XLV $XLYCall/Put Highest % volume changes:  Calls: $XLNX, $CY, $ADM, $SQQQ, $GDXJ.  Puts: $ASHR, $HLT, $GGP, $ENDP, $CHKP.Xilinx, Inc. $XLNX Shares Bought by GAM Holding AG https://t.co/CRF49DQOCW$XLNX if it breaks 47, could go to 46.50Mizuho Trust &amp; Banking Co. Ltd. Has $18,331,000 Stake in Xilinx, Inc. $XLNX https://t.co/dPIaevmvtC$XLNX 49.5 Puts BUYING Activity expiring on 13th May, Vol 360Xilinx, Inc. $XLNX Stake Held by Bp Plc https://t.co/z5Eygzkc7XXilinx, Inc. $XLNX Stake Held by Bp Plc https://t.co/cvbWvUb6YFCypress Asset Management Inc. TX Has $1,098,000 Position in #Xilinx, Inc. (). Read more: https://t.co/raFfutIfYN $XLNX$XLNX:

What Analyst Suggest Today? Texas Instruments Incorporated …:

https://t.co/DOYBuUKDPK180 Bullish https://t.co/HUMDwWHdSg $GFI $QSR $AER $BBD $TQQQ $XLNX $AAPL $SBGL $LOW $AU $IWB $ORCL $WMT $AUY $SCHW $SSO $NEM $PAH $ITUB",2016-04-04,XLNX,0
5,"RT @SkyCar_Jack: ShoutOut to the great #NorCal #Tech Cos: $AAPL $XLNX $ADSK $LMT $NTAP $STX $RMBS $THOR $SY $TWTR #UBER $ADBE $TIVO $GPS $E…@tangentstyle @DumbLuckCapital @Wolfmetric @HFMWeek ah, missed that. Maybe $SWKS $JD $RHT $NVDA $XLNX $AKAMRT @SkyCar_Jack: ShoutOut to the great #NorCal #Tech Cos: $AAPL $XLNX $ADSK $LMT $NTAP $STX $RMBS $THOR $SY $TWTR #UBER $ADBE $TIVO $GPS $E…RT @SkyCar_Jack: ShoutOut to the great #NorCal #Tech Cos: $AAPL $XLNX $ADSK $LMT $NTAP $STX $RMBS $THOR $SY $TWTR #UBER $ADBE $TIVO $GPS $E…ShoutOut to the great #NorCal #Tech Cos: $AAPL $XLNX $ADSK $LMT $NTAP $STX $RMBS $THOR $SY $TWTR #UBER $ADBE $TIVO $GPS $EA $NFLX $CSCO $DNAZacks Investment Research Downgrades Xilinx, Inc. $XLNX to Sell https://t.co/ghwzuTMl63Xilinx downgraded by Zacks Investment Research to sell. https://t.co/kx9RNUBsBe $XLNX #XLNXXilinx downgraded by Zacks Investment Research to sell. https://t.co/DW0uiTN7yF $XLNX #XLNX#Xilinx, Inc. Stake Raised by Gulf International Bank UK Ltd. Read more: https://t.co/LorrnGEOqE $XLNXXilinx, Inc. $XLNX Stake Raised by Gulf International Bank UK Ltd https://t.co/ALNg0OhH5FXilinx, Inc. $XLNX Stake Raised by Gulf International Bank UK Ltd https://t.co/476HfTFIO7Turner Investments L.P. Acquires New Stake in Xilinx, Inc. $XLNX https://t.co/9mQYimA73EXilinx, Inc. $XLNX Receives “A” Credit Rating https://t.co/a9Qou1IO5b$SUNE $XLNX:

Analysts Observable Stocks: SunEdison, Inc. (NYSE:SUNE) , Xilinx …:

https://t.co/Vok8FbxQLxXilinx, Inc. $XLNX Receives Average Rating of “Hold” from Analysts https://t.co/4Qbrh83uaR$XLNX:

Xilinx, Inc. (NASDAQ:XLNX) Receives Average Rating of “Hold” from …:

https://t.co/7MMqvEszJ1Xilinx, Inc. $XLNX Receives Average Rating of “Hold” from Analysts https://t.co/BaoCCyNdjN",2016-04-05,XLNX,1
6,"CYDY running, FLKS is just starting: https://t.co/lwSyWTxOEB $XLK $XLNX $XLP $XLRE $XLRN $XLU $XLV $XLY$XLNX - SELL Signal at 46.91 on Apr 05, 16 By https://t.co/6PpjiKmc9G Trading Robot #Stockstowatch #Stockmarket #trading #trade #investingBusiness Machines : #Xilinx and IBM to Enable FPGA-Based Acceleration within SuperVessel Op... Read more: https://t.co/ad5jEGTc19 $XLNXThis weeks watchlist 3 stocks to watch
$STJ $USLV $TWO $XLNX $CHS $PACB $EWW $MPW $RLYP $RTN https://t.co/0mtZfcZDTD$XLNX Xilinx and IBM to Enable FPGA-Based Acceleration within SuperVessel OpenPOWER Development Cloud https://t.co/MMAde63ykf$XLNX covered short at 46.45 for +1.40jim50: XLNX Gapped up +0.15 $XLNX Last Price 47.29 Day https://t.co/T5dyLIWQxJjim50: XLNX Gapped up +0.15 $XLNX Last Price 47.29 Day https://t.co/5NttMBJ0ybstocks with gap and go potential: $SRPT $CEL $STZ $CREE $XLNX $MAT trade in direction of gap only 
#intraday #daytrading #stocks #followmeBrandes Investment Partners LP Sells 206,904 Shares of #Xilinx, Inc. (). Read more: https://t.co/J6SdMS9vj1 $XLNXBrandes Investment Partners LP Sells 206,904 Shares of Xilinx, Inc. $XLNX https://t.co/aosy1I42XG#Xilinx, Inc. Downgraded by Zacks Investment Research to ""Sell"". Read more: https://t.co/39yTDOhokG $XLNXZacks Investment Research Downgrades #Xilinx, Inc. to Sell. Read more: https://t.co/FyI1dpaZbQ $XLNXXilinx, Inc. $XLNX Downgraded by Zacks Investment Research to “Sell” https://t.co/O4m80z7U03$XLNX - SELL Signal at 46.91 on Apr 05, 16 By https://t.co/6PpjiKmc9G Trading Robot #Stockstowatch #Stockmarket #trading #trade #investing",2016-04-06,XLNX,0
7,"Cognitive Computing Platform Unites #Xilinx and IBM. Read more: https://t.co/xMXisFudgc $XLNX$XLNX:

Can Xilinx, Inc. (NASDAQ:XLNX) Improve on the Earnings Front?:

https://t.co/uOIlOALYex180 Bearish https://t.co/95nQOqgco6 $DAN $JWN $TGNA $BIL $LYG $EZU $BAS $CIEN $TNK $MFC $FCAU $VSH $OZRK $GTE $JPM $FEZ $XLNX $HRL$XLNX:

Analyst Ratings Check Xilinx, Inc. (NASDAQ:XLNX):

https://t.co/iyRDwstv95#Xilinx continues to accelerate SuperVessel . Read more: https://t.co/KROXnOBQWk $XLNXSchroder Investment Management Group Cuts Position in Xilinx, Inc. $XLNX https://t.co/gvirLhC3Pu$XLNX - SELL Signal at 46.91 on Apr 05, 16 By https://t.co/6PpjiKmc9G Trading Robot #Stockstowatch #Stockmarket #trading #trade #investingXilinx, Inc. $XLNX Stock Rating Lowered by Zacks Investment Research https://t.co/XWVIeU4R9nFreestone Capital Holdings LLC Has $2,347,000 Position in #Xilinx, Inc. (). Read more: https://t.co/JxJm3AZfAJ $XLNXFreestone Capital Holdings LLC Has $2,347,000 Position in Xilinx, Inc. $XLNX https://t.co/IOk1H3Zy71#Xilinx and IBM put big data FPGA design in the cloud. Read more: https://t.co/Dk9P3oGASa $XLNX$VG $XLNX:

Noticeable Buzzers: Vonage Holdings Corp. (NYSE:VG) , Xilinx, Inc …:

https://t.co/UxQLKQXbL7RT @lancejepsen: Analyst Actions and Breaking News $XLNX $QCOM $MRCY $LM https://t.co/9LciAI12Un",2016-04-07,XLNX,1
8,"Aroon Positive https://t.co/1OHV9sO9FI $TEL $GUSH $BURL $TNC $XLNX $AMBA $ENB $CIGI $AFAM $RMAX $UBNT $XOP $WSBC $KFY $BRKR $CWT $HSII $MFLX$XLNX short setup https://t.co/wW8mXre9Pb#Xilinx's ""Hold"" Rating Reaffirmed at Citigroup Inc. Read more: https://t.co/Xcs9FwfPLP $XLNX#Xilinx's ""Hold"" Rating Reaffirmed at Citigroup Inc. Read more: https://t.co/J0xikqTdFW $XLNXXilinx’s $XLNX “Hold” Rating Reaffirmed at Citigroup Inc. https://t.co/HqAHOsOcPLXilinx Inc Reiterated Rating by Citigroup (Ranked 28th) to Hold $XLNX #XLNX https://t.co/v7SULjBtWlXilinx's hold rating reiterated at Citigroup Inc.. https://t.co/H5ci2JbaoC $XLNX #XLNXRT @barronstechblog: Xilinx: Pole Position in Cloud Servers, Says Citi; QCOM Deal Less Likely - Tech Trader Daily - $XLNX $QCOM $INTC https…#Xilinx: Pole Position in Cloud Servers, Says Citi; QCOM Deal Less Likely. Read more: https://t.co/mC760CFsSy $XLNX$XLNX $QCOM $INTC $GOOGL $FB:

Xilinx: Pole Position in Cloud Servers, Says Citi; QCOM Deal Less …:

https://t.co/YQXcOxbtlBXilinx: Pole Position in Cloud Servers, Says Citi; QCOM Deal Less Likely - Tech Trader Daily - $XLNX $QCOM $INTC https://t.co/97ajO8wRbZHAHA wow, $XLNX just got called by my real name for the first place -_-Cibc World Markets Corp Raises Stake in #Xilinx, Inc. (). Read more: https://t.co/eMBrUJNuzT $XLNX$XLNX:

Cibc World Markets Corp Raises Stake in Xilinx, Inc. (XLNX):

https://t.co/gnyv83quFi",2016-04-11,XLNX,0
9,"#Xilinx's Hold Rating Reaffirmed at Citigroup Inc. Read more: https://t.co/f538zXzdGl $XLNX$XLNX - Xilinx's #XLNX Hold Rating Reaffirmed at Citigroup Inc. https://t.co/NjZOq9p0C5$XLNX:

Xilinx’s (XLNX) Hold Rating Reaffirmed at Citigroup Inc.:

https://t.co/BC6dcuM99sAroon Positive https://t.co/1OHV9sO9FI $TEL $GUSH $BURL $TNC $XLNX $AMBA $ENB $CIGI $AFAM $RMAX $UBNT $XOP $WSBC $KFY $BRKR $CWT $HSII $MFLX$XLNX:

Xilinx, Inc. (NASDAQ:XLNX): Quick Look at Earnings:

https://t.co/ch7Zw8NnG7Ranks #1 with over 80% in alert gains today. Click here https://t.co/ewcYkLb72h .. $ENTR $OCC $XLNX",2016-04-12,XLNX,1
